"Compound","mz","rt","221012_DGM_Blank1_1_1_390","221012_DGM_Blank1_1_2_391","221012_DGM_Blank1_1_3_392","221012_DGM_MB1588_3_1_395","221012_DGM_MB1588_3_2_396","221012_DGM_MB1588_3_3_397","221012_DGM_MB1589_4_1_398","221012_DGM_MB1589_4_2_399","221012_DGM_MB1589_4_3_400","221012_DGM_MB1590_5_1_401","221012_DGM_MB1590_5_2_402","221012_DGM_MB1590_5_3_403","221012_DGM_Blank2_1_1_404","221012_DGM_Blank2_1_2_405","221012_DGM_Blank2_1_3_406","221012_DGM_MB1591_6_1_407","221012_DGM_MB1591_6_2_408","221012_DGM_MB1591_6_3_409","221012_DGM_MB1592_7_1_410","221012_DGM_MB1592_7_2_411","221012_DGM_MB1592_7_3_412","221012_DGM_MB1593_8_1_413","221012_DGM_MB1593_8_2_414","221012_DGM_MB1593_8_3_415","221012_DGM_MB1594_9_1_416","221012_DGM_MB1594_9_2_417","221012_DGM_MB1594_9_3_418","221012_DGM_Blank3_1_1_419","221012_DGM_Blank3_1_2_420","221012_DGM_Blank3_1_3_421","221012_DGM_MB1595_10_1_422","221012_DGM_MB1595_10_2_423","221012_DGM_MB1595_10_3_424","221012_DGM_MB1597_11_1_425","221012_DGM_MB1597_11_2_426","221012_DGM_MB1597_11_3_427","221012_DGM_MB1598_12_1_428","221012_DGM_MB1598_12_2_429","221012_DGM_MB1598_12_3_430","221012_DGM_MB1599_13_1_431","221012_DGM_MB1599_13_2_432","221012_DGM_MB1599_13_3_433","221012_DGM_Blank4_1_1_434","221012_DGM_Blank4_1_2_435","221012_DGM_Blank4_1_3_436","kmd"
"737.47379 Da 606.74 s",738.48107,10.11,7357.009277,14386.22266,0,0,0,10556.27051,12969.04688,3321.53125,9205.326172,0,0,2564.635986,9487.413086,4189.59082,3118.468506,8298.948242,7041.639648,0,2771.886963,3241.362061,0,2653.477051,4634.583008,8373.355469,8958.334961,0,0,3175.008545,4428.649414,2530.612061,2688.838135,9076.433594,5603.67041,0,3735.101318,0,5175.152344,4960.623047,0,7081.583984,3275.68335,0,3120.418457,2850.789307,8129.545898,0.481070000000045
"577.49413 Da 603.81 s",578.50141,10.06,0,0,0,0,0,2935.307861,4791.62207,0,0,0,4265.612793,0,0,0,0,0,0,0,1134.682617,1685.002686,2971.645508,0,0,0,0,0,0,0,2825.735596,0,1708.112549,0,2914.050049,1829.872437,2721.041748,0,0,0,0,0,0,0,2885.48999,0,0,0.501409999999964
"399.76329 Da 609.06 s",400.77056,10.15,4857.388672,2908.415039,1892.603638,6098.376465,5468.522461,0,1920.670532,2724.354248,2050.657959,4057.56543,0,0,3950.023193,5226.030273,668.8911133,2141.198486,0,4378.01709,2077.835205,1618.791992,2092.941162,2243.061768,2160.174072,2079.115967,2338.723633,3401.840088,757.8074951,1702.862427,0,1242.707397,1326.831177,2091.623291,1657.317627,2537.061523,0,1775.795044,0,1036.171875,0,2801.220215,6359.674316,950.4510498,1780,1184.024536,1041.363037,0.770559999999989
"521.35823 Da 441.13 s",522.36551,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13233.44434,13295.04297,10837.9043,11861.47852,12391.69043,0,12260.9873,0,0,0,0,0,0,0,0.365509999999972
"555.39892 Da 347.32 s",556.40619,5.79,4477.907715,3899.572754,3086.330566,4561.887207,4255.706543,0,2468.94458,2843.900146,5378.290527,1727.768066,1826.312866,2883.394043,4297.152344,4518.234375,2920.513428,0,2519.757324,4357.353516,3562.259277,4213.864258,7208.652832,0,6932.332031,6200.63623,5384.506348,4029.575439,6245.316895,3677.682617,3878.402344,4136.745605,2604.418457,2280.582031,0,5359.113281,9291.791992,9652.095703,0,10639.80566,7787.609863,3498.07373,5829.939453,8716.976563,3255.187744,2842.319092,3377.998047,0.406190000000038
"761.54191 Da 605.01 s",762.54919,10.08,29131.17578,0,3371.145508,62466.06641,61802.08594,90100.94531,100777.4375,81868.64844,48118.54688,32306.89844,41962.91406,34819.41406,4425.790527,6187.875,12925.89453,15254.63672,17614.82617,0,30662.45313,40281.76563,47567.80859,20550.91992,29094.0332,26735.77344,0,14877.60547,8401.753906,7140.75293,6907.80957,6523.414063,28058.27539,24207.96289,39731.125,0,5944.925293,4570.631836,9044.49707,6536.097656,16289.8623,16900.8457,16679.34375,4325.348633,3620.775391,3936.735352,0,0.549189999999953
"545.11265 Da 604.44 s",546.11992,10.07,44492.31641,57420.77734,47019.53906,39010.58594,32271.09766,0,36599.10547,29211.64258,26974.40039,42605.19141,26892.56641,28384.30664,39322.09766,33691.89063,22166.60938,19687.66992,16790.73242,23696.74805,8377.899414,8449.805664,12774.7627,17385.05078,21795.51172,29364.01172,18213.42578,31399.51953,28345.98047,26670.71094,23875.8125,19954.96289,12982.89551,14283.59766,14073.57129,15700.87891,17212.58984,22083.19141,0,17008.67578,23724.57422,18811.58594,25370.22266,34673.00391,26706.66406,25012.80469,24833.13672,0.119919999999979
"1396.73646 Da 348.66 s",699.37551,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6382.352051,9435.172852,5333.148926,18466.04297,0,0,10365.51465,7109.186523,6999.410156,0,0,0,0.375509999999963
"716.22314 Da 496.23 s",717.23042,8.27,17117.89844,36614.25781,19015.30078,0,0,0,0,0,0,0,0,0,0,20465.31055,13512.1123,10941.11035,0,0,0,0,0,0,0,0,0,0,0,0,1787.710938,2074.458496,1189.616333,0,0,0,0,0,0,0,0,0,0,0,0,2835.862061,2784.728516,0.230419999999981
"881.60459 Da 603.98 s",882.61187,10.07,0,0,0,0,0,6204.625488,6402.416504,6743.660156,5137.893066,6719.119629,5446.087891,0,2203.791748,5694.438477,0,0,3001.754395,4655.478027,0,3618.189209,0,0,1554.488403,0,0,0,0,0,0,2655.864258,2610.629639,3324.560791,0,0,0,0,6494.493652,2695.118164,0,0,0,0,0,0,0,0.611869999999954
