"Compound","mz","rt","221012_DGM_Blank1_1_1_390","221012_DGM_Blank1_1_2_391","221012_DGM_Blank1_1_3_392","221012_DGM_MB1588_3_1_395","221012_DGM_MB1588_3_2_396","221012_DGM_MB1588_3_3_397","221012_DGM_MB1589_4_1_398","221012_DGM_MB1589_4_2_399","221012_DGM_MB1589_4_3_400","221012_DGM_MB1590_5_1_401","221012_DGM_MB1590_5_2_402","221012_DGM_MB1590_5_3_403","221012_DGM_Blank2_1_1_404","221012_DGM_Blank2_1_2_405","221012_DGM_Blank2_1_3_406","221012_DGM_MB1591_6_1_407","221012_DGM_MB1591_6_2_408","221012_DGM_MB1591_6_3_409","221012_DGM_MB1592_7_1_410","221012_DGM_MB1592_7_2_411","221012_DGM_MB1592_7_3_412","221012_DGM_MB1593_8_1_413","221012_DGM_MB1593_8_2_414","221012_DGM_MB1593_8_3_415","221012_DGM_MB1594_9_1_416","221012_DGM_MB1594_9_2_417","221012_DGM_MB1594_9_3_418","221012_DGM_Blank3_1_1_419","221012_DGM_Blank3_1_2_420","221012_DGM_Blank3_1_3_421","221012_DGM_MB1595_10_1_422","221012_DGM_MB1595_10_2_423","221012_DGM_MB1595_10_3_424","221012_DGM_MB1597_11_1_425","221012_DGM_MB1597_11_2_426","221012_DGM_MB1597_11_3_427","221012_DGM_MB1598_12_1_428","221012_DGM_MB1598_12_2_429","221012_DGM_MB1598_12_3_430","221012_DGM_MB1599_13_1_431","221012_DGM_MB1599_13_2_432","221012_DGM_MB1599_13_3_433","221012_DGM_Blank4_1_1_434","221012_DGM_Blank4_1_2_435","221012_DGM_Blank4_1_3_436","kmd"
"802.33381 Da 445.34 s",803.34109,7.42,14959.13867,18136.73438,12346.15332,11595.4082,12395.08594,13182.1748,12695.24121,8829.452148,10663.63574,11635.31543,13756.7959,10208.25098,14903.17969,10272.37207,10568.57422,8708.176758,10936.70996,5721.960449,4878.5,3510.114014,6598.213379,10141.2666,9582.136719,8333.34082,9121.217773,8105.180176,7998.282715,8007.741699,8565.138672,10362.23535,7726.030762,7167.408691,6159.550781,8547.598633,6256.17334,10900.77637,6380.793945,7432.954102,6798.099609,11204.18359,9099.964844,11763.05566,14256.52637,7299.933105,12178.96289,0.341090000000008
"648.44970 Da 490.20 s",649.45698,8.17,0,0,0,0,0,23250.81055,21299.24023,0,0,0,0,0,0,0,0,0,0,0,3774.298584,4026.434326,0,0,0,0,0,29383.82813,0,0,0,1639.284912,0,3551.284424,3903.467041,6340.654785,7886.730957,8029.389648,0,12152.33984,0,8981.288086,0,10492.36133,0,0,0,0.456980000000044
"659.53471 Da 461.90 s",660.54198,7.7,0,0,0,17319.17969,16691.91211,0,0,5223.6875,6828.614746,0,0,0,0,0,0,0,0,0,4012.898682,5392.595703,5897.003906,6503.469238,3542.119629,4660.70752,2926.025635,0,3323.99707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3202.003418,0,0.541979999999967
"506.31800 Da 436.74 s",507.32527,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7655.57666,0,0,0,0,0,0,0,0,0,0,12505.20117,17994.1543,0,2639.126953,0,0,12320.15723,14673.12695,19321.08789,21407.9082,18290.91602,0,17061.52344,0,0,0,12926.82031,0,0,0,0.325269999999989
"916.57389 Da 525.50 s",917.58117,8.76,0,17168.22461,10178.2793,0,0,7546.491211,11301.56738,10664.49414,14203.26563,16226.67969,18834.05273,19718.5957,30456.87109,0,21280.62109,25553.97461,15779.47266,0,1350.900635,0,0,0,4994.917969,2336.837158,0,3938.61792,0,1122.271729,0,0,0,0,0,0,0,624.8376465,0,897.8716431,911.4710083,0,15901.84961,15390.76367,14110.4375,22233.69922,18973.09961,0.581170000000043
"904.68240 Da 515.44 s",905.68967,8.59,8100.714844,0,0,0,6272.819824,0,6098.585449,0,0,0,0,6044.943359,9919.148438,8934.500977,0,0,3733.794434,0,546.6237183,0,0,1533.397461,0,0,1665.211304,1948.406372,955.4273682,0,664.527771,0,0,0,0,0,578.9613647,0,1532.660645,1257.617432,980.491333,0,1583.890625,0,0,0,0,0.689669999999978
"687.48123 Da 402.80 s",688.48851,6.71,0,0,0,6974.027832,0,6848.441895,0,0,9432.439453,8942.258789,10866.02637,13052.45996,0,0,0,0,0,0,44114.44531,76762.96875,73771.41406,19944.30664,19512.89258,14414.58496,29246.95313,28768.95898,29264.70703,0,0,0,20153.46289,18956.45313,21506.61719,10398.90625,10369.88281,12378.10059,22959.73438,21692.73633,0,15443.33398,0,0,0,0,23401.64844,0.488510000000019
"923.64043 Da 385.36 s",924.64771,6.42,0,0,0,17173.9043,14170.98535,18324.71875,13705.33301,10275.4834,0,17253.98828,16744.99023,23721.875,0,0,0,14120.78809,18030.14453,14996.87598,128295.6641,172169.4063,177695.6406,21826.3125,21821.39453,26693.55859,23347.43359,29956.6543,27489.60742,0,0,0,34539.10156,32516.42578,0,18961.28125,16536.13867,0,70706.14844,60384.55859,82618.17188,36161.09375,31176.32813,35003.60156,0,0,0,0.647709999999961
"1003.19774 Da 481.78 s",1004.20501,8.03,2651.09375,6602.719238,5792.148926,4080.039795,3052.600098,6618.029297,11361.6709,0,2472.276367,5131.036133,3342.196533,3761.098389,6084.306152,4164.414551,0,4644.728516,5103.630859,2938.265137,1587.285767,0,1405.14563,1377.623657,0,1748.912109,1902.712524,982.5631104,1820.740112,5689.005371,3854.787354,0,2476.879639,0,0,1212.128052,0,0,0,3232.693359,2971.104004,1310.322021,956.3270874,2293.994873,0,0,6298.467285,0.205010000000016
"911.72726 Da 565.35 s",912.73453,9.42,30392.5957,18649.42188,18744.21484,0,0,0,0,5512.833008,0,0,0,4536.072266,0,0,0,3222.619873,0,361.4968262,351.6157532,0,0,1257.196167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73452999999995
"472.29721 Da 409.16 s",473.30449,6.82,0,0,0,0,0,0,0,0,0,0,7588.536133,0,0,0,0,11559.07324,13661.70605,9967.977539,21107.32813,42481.63672,38373.79688,18717.4668,14349.58887,15914.33496,31478.27148,38939.08984,29185.15039,0,5415.533691,0,12852.95215,14420.91504,12790.86133,19635.83203,17196.4082,20307.32422,0,16081.37793,0,8836.764648,11507.43555,8533.808594,0,0,0,0.304489999999987
"551.19187 Da 527.05 s",552.19915,8.78,84508.20313,33756.17188,0,0,0,0,0,12925.89453,42193.76563,13010.61816,10843.7666,20688.08594,47595.85156,0,10385.34375,0,7426.943848,0,0,0,2054.081055,0,8532.074219,6512.105469,0,1759.390991,1871.930786,0,0,0,0,0,0,0,0,793.6669312,0,0,0,0,2149.650879,3888.938477,0,0,1565.569824,0.199150000000031
"893.46391 Da 354.92 s",894.47118,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5219,0,0,0,0,0,0,0,0,0,0,0,0,0,24852.39648,29171.7168,19849.44531,58543.63672,60647.51563,61190.14063,18564.93555,20614.62695,24488.41797,0,0,0,0.471180000000004
"337.34127 Da 527.06 s",338.34855,8.78,0,0,0,62067.30078,51894.92969,33822.39844,57320.36328,48626.67969,44623.86719,44575.08984,48865.12109,44373.77344,36453.50391,0,0,27833.22461,29970.27344,3614.788818,0,2395.141357,2224.741455,7701.665039,21532.98828,0,3955.607422,0,4401.127441,0,0,0,2881.060303,1371.430786,0,0,0,0,2550.870605,0,0,4451.057129,5833.365723,5954.32959,5016.818848,3061.547119,2971.952881,0.348549999999989
"446.26163 Da 471.04 s",447.26891,7.85,0,0,0,0,0,0,0,4447.432129,0,0,3944.848389,0,4053.823975,3588.563232,0,0,0,1809.5,0,4983.835938,0,1461.5,0,0,0,0,3006.921631,0,0,2893.702637,5470.438477,7642.224121,2229.987305,19314.63477,30332.00781,25729.90234,11447.7002,13393.64844,3922.820313,13276.33594,0,17796.92188,0,0,2241.809814,0.268910000000005
"947.45926 Da 332.63 s",474.73691,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6301.836426,7479.640625,0,0,16657.08984,0,7166.551758,5085.856445,6249.299316,0,0,0,0.736910000000023
"826.60759 Da 518.69 s",827.61487,8.64,0,12266.67676,0,0,0,10292.35742,8146.648926,0,12492.74023,0,0,0,8551.710938,8230.144531,4499.226074,0,5194.611816,0,0,0,0,0,3240.801514,4161.522461,0,0,1271.441895,0,648.0940552,565.3900757,0,0,0,0,0,991.1570435,1707.021973,0,0,0,0,1697.024414,0,0,0,0.614869999999996
"317.79010 Da 610.37 s",318.79737,10.17,5655.560059,11812.54199,4980.386719,5768.281738,8920.37793,8712.061523,9405.256836,9045.969727,10755.25391,4120.285156,9333.373047,13086.72656,9627.269531,8390.051758,8826.152344,9568.77832,10236.89648,8987.412109,10178.19043,9672.106445,10878.87695,11700.3291,9947.625977,10379.15723,10323.39063,10792.09766,7412.38916,10777.6543,0,11586.0791,9341.09375,9207.430664,9700.477539,8363.264648,7335.514648,7832.012695,10437.88574,0,0,12416.79004,10136.05957,7176.080078,9281.261719,0,9875.43457,0.797370000000001
"897.58020 Da 402.61 s",449.79737,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14309.41504,0,0,0,0,0,0,0,0,0,0,0,0,15409.86816,55984.57813,52134.31641,57720.33984,0,22542.92773,0,27829.60156,0,21233.15625,0,0,0,0.797370000000001
"799.63605 Da 490.79 s",800.64332,8.18,10638.41895,0,12492.67773,9595.078125,9259.254883,10025.82324,8029.984375,6528.726074,0,7555.939453,7598.234863,5250.386719,0,6318.343262,0,0,0,3212.811768,0,0,0,0,0,0,2954.055908,3193.185547,0,0,0,0,0,0,0,0,3927.519531,0,0,0,0,0,0,0,0,0,0,0.643320000000017
"1015.06960 Da 367.57 s",1016.07687,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5847.273438,6381.402832,5450.682617,0,18953.6543,17207.47852,4146.773438,5001.61084,5151.70752,0,0,0,0.0768699999999853
"568.48178 Da 604.00 s",569.48905,10.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2226.43335,1662.982544,1014.925049,0,0,0,0,0,0,0,8460.03125,0,4923.484375,1897.009277,3413.366211,3444.627441,2704.650879,1901,2257.853027,0,0,0,2035.232422,0,0,1636.819458,2319.359619,0,0.48905000000002
"637.55004 Da 556.91 s",638.55732,9.28,0,0,0,0,0,7847.319824,7828.436035,9438.413086,2915.261963,3753.143799,2725.241455,2742.471436,2374.44165,1976.738403,0,840.322937,492.083313,0,0,0,0,1209.727417,1481.380493,0,0,616.6448975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.2418823,0,0,0,0.557320000000004
"1540.34161 Da 603.89 s",1541.34889,10.06,0,0,891.2711182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0283203,0,0,0,0,0,0,1790.782715,1470.611938,1296.389893,2240.929199,2166.706299,4968.808594,2303.72168,3850.328369,0.348889999999983
"960.68680 Da 479.20 s",961.69407,7.99,0,0,0,0,0,0,0,5111.133789,4480.495117,0,6347.891602,4741.426758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2719.290771,0,0,3036.458984,2865.700928,2705.274414,0,2784.07373,0,0,0,2373.5,0.694070000000011
"759.20001 Da 557.15 s",760.20729,9.29,22373.33594,31699.91797,22892.26758,0,12283.40625,0,0,1154.5,0,0,2977.085449,0,2944.675293,12913.1709,5480.293945,6310.242676,0,0,0,0,0,0,0,846.2133789,0,0,0,0,620.1633911,906.2103271,0,0,0,0,0,0,0,0,0,0,0,0,0,1473.661011,1276.38562,0.207289999999944
"749.40121 Da 524.85 s",750.40849,8.75,17745.78906,29011.14063,26357.53516,0,10328.19336,11969.22168,12891.40137,5021.969238,10849.59668,9597.105469,8375.751953,11579.5498,10908.57813,10838.03711,14514.85156,6292.25293,5578.535645,515.826416,0,0,987.0614624,1742.985718,2325.371582,3171.912598,1225.191528,1896.035889,659.9346924,0,0,0,0,0,0,0,0,652.3410645,1376.107788,981.9152222,1260.785156,1212.92749,1521.314453,1946.195557,1255.216553,1417.666748,1303.550293,0.408490000000029
"835.66398 Da 605.77 s",836.67126,10.1,2640.308838,0,0,8161.247559,0,0,0,0,2840.707031,6012.648438,0,5124.284668,4748.20166,0,0,0,0,0,0,0,0,0,5752.211426,0,0,0,8732.379883,4040.0979,5461.228516,3344.971191,2445.629883,0,0,0,5338.496094,3992.45166,0,3669.969482,0,2439.499512,3160.206055,1834.392212,0,0,2017.259399,0.671259999999961
"739.51738 Da 373.10 s",740.52466,6.22,0,0,0,48857.51563,0,0,0,27513.05078,0,44584.56641,45045.10547,49280.45703,0,0,38284.78516,44892.33203,31598.97266,25844.47852,0,0,42755.76563,64775.23438,62882.38281,81309.14844,66828.52344,75586.8125,66448.71875,29324.77734,0,0,26920.24805,15988.4375,0,0,14506.09277,0,60113.34375,59060.35938,0,50968.05859,0,0,0,0,0,0.52466000000004
"646.36021 Da 452.52 s",647.36748,7.54,0,0,3895.071533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12027.80469,10705.23047,9147.788086,3684.538818,4499.834961,4659.206055,3326.114746,0,0,1761.947998,0,0,0.36748
"691.57693 Da 484.94 s",692.5842,8.08,0,0,3697.523926,0,7066.229492,0,3839.374023,4723.127441,0,0,3363.592529,0,0,0,0,0,3180.639893,0,0,1924.604248,4854.512207,6307.62793,1438.573486,3636.337402,3285.532471,2767.839844,0,2617.021973,0,0,0,0,2186.664063,1871.199707,3310.741943,1683.081909,2550.589111,2951.114258,3466.408203,3229.532471,2671.515869,4168.791016,3017.791748,0,593.8827515,0.58420000000001
"660.51268 Da 439.04 s",661.51995,7.32,4976.837402,4523.893555,6213.676758,6158.72998,5944.170898,0,6723.767578,6517.686035,8271.297852,0,6386.65625,4866.55957,6215.84668,5904.456055,0,7960.195313,7404.025391,0,5394.033203,0,7032.541992,5857.876465,6130.553223,5587.392578,6123.797852,6987.123535,0,4681.736816,7304.594238,6588.218262,8258.454102,0,7867.626465,7994.734375,10266.7666,8734.033203,11376.57031,0,10431.94727,11288.56738,7265.033691,10101.62793,4724.721191,4255.721191,5221.435547,0.519949999999994
"842.16670 Da 568.96 s",843.17398,9.48,16686.89844,31114.45117,16623.48828,17520.59375,3754.577393,5193.597656,12061.49414,0,4070.960205,9710.239258,3158.827637,0,6032.566895,0,5681.933594,15214.42188,1457.848022,500.7922668,0,0,693.3669434,2119.406982,901.2797852,0,0,0,332.3488464,463.0917358,449.9160461,491.2394104,432.2495728,0,0,0,0,0,384.9105835,0,0,0,293.7026672,816.0040894,917.8543091,719.6715088,1166.502319,0.173980000000029
"339.35155 Da 548.36 s",340.35882,9.14,21778.73828,9021.822266,0,8916.064453,7874.186523,7652.822754,11634.41797,24504.14844,9213.43457,9357.019531,7304.191895,14979.25,18684.35742,13971.56641,2995.980957,7086.552246,13639.25586,1005.297668,1027.637451,1389.255981,821.8789673,3410.925537,5486.534668,11846.87891,2628.003174,3668.234863,1535.449341,635.8324585,643.8312988,532.5521851,1175.093994,711.3328247,460.8579407,0,399.7734985,0,1600.185303,0,1096.650757,886.8499756,1904.152588,2029.915527,1028.953491,844.5558472,1106.541016,0.35881999999998
"1298.31327 Da 555.75 s",1299.32054,9.26,29245.96875,37041.89453,48270.63672,0,0,0,0,0,0,0,2112.62793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320539999999937
"529.36902 Da 464.46 s",530.3763,7.74,0,0,0,3759.927979,4748.508301,0,0,0,0,0,0,0,0,0,0,0,2976.5,2521.634766,4082.150635,0,0,2568.577881,0,0,0,4119.211914,0,2621.581055,0,0,0,0,0,19192.3457,21830.1582,24930.37695,0,0,0,9597.458008,0,8874.489258,0,0,0,0.376300000000015
"521.11166 Da 498.84 s",522.11894,8.31,284891.875,140310.0625,56476.51563,32620.5957,33838.71094,0,32489.2168,23918.80664,58369.73828,18079.10547,21487.83984,20133.37109,83041.76563,89814.25,31336.05273,11285.65332,12932.13379,4234.613281,0,882.3426514,3811.058594,2753.091553,9506.464844,12427.5459,2531.727051,5198.401855,4416.849609,7425.362793,7382.45459,4432.896973,852.8236694,0,0,882.257019,3095.06543,2997.65918,0,914.7540283,834.2554321,1338.36145,5296.284668,6006.255859,9620.682617,8758.047852,6971.695801,0.118939999999952
"579.35455 Da 609.11 s",580.36181,10.15,5948.668457,5623.888184,0,14261.65625,10922.49902,0,14398.64648,17277.45508,12319.15332,12084.57715,12492.42383,9145.06543,10648.99316,17652.68359,18329.78516,19389.92383,16951.46484,11333.57324,9560.351563,11959.68066,7993.79834,8922.993164,10976.87207,12116.48633,7469.422363,8849.109375,8140.545898,7508.811035,0,7159.146484,12851.75098,13989.72949,10674.14941,8953.585938,5431.251953,5747.383301,0,0,4491.150391,3896.667725,2890.388428,5420.330078,5567.094727,7079.921875,3107.161865,0.361809999999991
"717.43861 Da 605.50 s",718.44588,10.09,0,0,0,5576.459961,4446.833496,0,0,0,0,3918.502441,4584.696289,4274.909668,0,0,0,2298.022949,2525.50708,3283.690186,0,2007.04126,2756.334961,0,0,0,1755.899658,0,0,2330.630615,0,1673.578491,2362.855469,0,0,0,0,0,2621.308838,0,0,0,1575.66333,0,0,1464.150146,0,0.445879999999988
"868.71173 Da 581.94 s",869.71901,9.7,0,0,6897.858398,3125.454102,7593.458984,2149.572021,5200.60498,0,0,0,2619.738037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719010000000026
"660.46045 Da 557.75 s",661.46773,9.3,0,0,0,0,0,0,15455.50195,0,0,10647.13867,0,0,12269.24414,0,1675.405151,0,0,1573.553467,0,0,4035.049561,0,0,5673.075684,2402.907715,0,883.4690552,0,0,1058.966431,0,0,0,0,0,0,1602.571045,1022.562622,1155.516602,1352.811401,3144.518311,3250.530518,0,0,1133.137451,0.46772999999996
"794.53451 Da 530.10 s",795.54179,8.84,0,7450.160156,0,0,12897.38086,12359.4707,0,0,0,6990.507813,12404.09277,0,14270.12109,0,0,5742.969238,0,3720.702148,0,0,0,0,0,0,0,0,0,1218.370483,0,0,957.3088379,0,0,0,974.8095093,0,0,0,3419.664551,0,5143.508789,3390.076172,4439.203613,2818.565918,2730.052246,0.541789999999992
"483.30004 Da 603.74 s",484.30732,10.06,4071.522461,0,0,0,1814.578247,0,0,0,0,0,4932.680664,6762.297852,2185,2370.5,1799.363037,0,2845.577393,0,2174.650391,2288.494873,1455.164185,0,0,0,1727.264648,0,0,0,2951.239502,3544.573242,1569.857056,2386.707275,0,0,3699.103516,2241.071045,3761.103516,0,3408.418701,2413.426758,1855.074341,3731.922363,4149.526367,4755.318359,0,0.307320000000004
"809.59451 Da 608.29 s",792.59332,10.14,23706.33789,20314.35547,10634.03125,11029.44531,10626.71484,12009.0752,25763.94141,12670.0293,7692.966797,25862.03711,43709.71094,20527.95703,20326.07813,15712.75879,30640.60352,40734.00391,43651.78906,21541.25195,11743.72656,15490.40137,17364.04492,32716.40039,40533.90625,63634.39844,35691.38672,36327.74609,32834.55469,30973.94922,23219.89063,20666.64844,20137.29883,15967.30566,8876.640625,8251.487305,13160.88574,19947.8418,24267.27734,20781.05469,39130.53516,41846.67188,33794.72266,22880.75,18841.64648,17851.18164,6433.364258,0.593319999999949
"526.24561 Da 608.79 s",527.25288,10.15,17213.12891,31461.81836,29428.77539,2570.756836,1221.925659,0,32069.68555,8963.532227,0,2315.702881,0,0,0,2772.756104,2057.125732,0,864.0686035,0,0,0,0,1595.047974,0,0,0,0,0,0,0,0,4917.324707,837.581604,3759.39624,0,0,0,0,14559.81934,0,0,0,3218.964355,0,1417.054688,0,0.252880000000005
"820.46329 Da 319.45 s",411.23892,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121730.5469,112238.3984,121774.6328,1497.936279,0,0,129677.2656,0,139338.4844,0,0,0,0.238920000000007
"675.47589 Da 542.05 s",676.48316,9.03,0,0,0,7088.206543,6048.969238,8330.78125,0,0,3618.021973,0,3944.41333,0,0,0,0,0,0,0,0,0,1600.251953,0,0,1670.939209,0,0,0,0,0,0,0,332.1309814,0,0,0,0,616.413147,0,0,0,0,0,0,0,0,0.483159999999998
"502.36611 Da 603.84 s",503.37339,10.06,0,0,0,0,0,0,0,3805.301514,6495.150391,0,7683.082031,7371.342773,0,0,4639.219238,5188.277344,0,2661.204834,2885.550293,4468.495117,0,2735.753906,0,4590.13916,3010.814941,5528.470703,0,4382.60791,16520.22461,0,0,4823.327148,9194.545898,4511.311035,4595.704102,4662.607422,11328.28027,3647.094238,10815.22656,4472.958496,3373.370361,3697.526611,3132.879883,0,2663.691162,0.373389999999972
"794.40997 Da 458.13 s",795.41725,7.64,14000.99121,0,12168.58398,18696.4043,17946.00195,16835.86523,21053.29297,15910.07129,18683.64063,17792.57617,0,15932.97168,10928.38379,10781.8916,10458.36816,11190.47363,15625.57129,13261.58887,31584.77148,35603.69922,35543.07422,17747.56641,16077.91602,16332.41699,19378.9375,20113.51758,19179.49023,10954.91406,9039.34082,10909.05078,20274.30273,25022.87695,22969.4707,390906.875,321679.1563,392738.8438,122915.4844,127346.4688,132283.6563,66807.08594,60646.82813,65036.68359,10052.00586,10848.08008,10113.1084,0.417249999999967
"738.50857 Da 423.43 s",739.51585,7.06,0,0,15597.47266,0,4962.407715,0,0,0,34769.53516,0,0,0,0,0,18062.62891,23335.72656,0,0,6672.973145,11875.17285,5677.416504,9729.5,15245.09277,0,28175.24805,33463.30859,0,0,17040.33008,0,8352.68457,7463.066406,0,0,0,29196.00586,0,33018.28125,0,0,0,0,0,7990.433594,9740.388672,0.51585
"600.47443 Da 402.36 s",601.48192,6.71,0,0,0,0,0,0,5155.787109,0,0,0,0,0,0,0,0,0,0,0,17950.29883,0,3739.761475,0,0,0,0,0,0,0,0,0,6259.278809,5845.533691,25340.52344,10032.96875,11697.04883,12590.33691,0,7587.453613,78839.01563,37960.89453,6396.658691,5732.650879,2347.048584,0,0,0.481919999999946
"591.34671 Da 280.00 s",592.35398,4.67,3468.505127,3595.195801,3905.279785,3946.5979,4136.394043,1379.447144,4520.433105,5149.183105,4955.147461,4325.545898,4061.668701,0,3837.445801,3931.823975,3767.554443,4558.951172,5110.395508,5074.497559,10138.00098,11030.04199,10583.56836,6645.408691,7340.126953,7155.875,16432.65039,16980.31641,17435.29102,3347.489014,0,4143.58252,10731.19629,10215.49219,11552.64648,18481.03516,16231.35449,9055.621094,11508.74316,15910.46289,11634.00684,5422.11377,6037.459961,6302.302246,4202.335938,3138.00415,3335.946289,0.353979999999979
"839.64975 Da 515.12 s",840.65703,8.59,0,0,0,6938.022949,6231.209473,0,11254.90039,9021.126953,10054.69238,8043.638184,8518.787109,9672.066406,7514.901367,6610.982422,0,0,3713.74707,0,460.9663086,0,0,0,0,6967.244141,1487.644165,1625.041992,0,0,0,449.7696533,0,0,0,0,0,1613.272461,0,1975.837769,0,903.5136719,0,1577.700806,0,0,0,0.657029999999963
"381.20036 Da 355.04 s",382.20764,5.92,0,0,0,2915.556396,3686,0,8006.622559,9096.564453,7874.960449,0,1918.730713,2501.279297,0,0,0,2389.648682,3975.81958,3056.946533,2129.13623,4484.036621,3678.202637,2655.25293,0,0,0,0,0,0,0,873.8721313,0,0,0,0,0,0,0,0,0,0,0,0,662.1306763,0,812.3665771,0.207640000000026
"648.11964 Da 481.60 s",649.12692,8.03,65222.16797,35020.04297,42567.28516,0,7618.524414,0,10399.0459,21205.0293,35110.38672,5896.500488,11934.67285,13676.24023,49468.96875,56429.35156,22982.15039,0,11220.96387,15948.1416,6625.902344,8153.401855,24425.875,6253.296875,10522.93652,22627.60547,5763.805664,8707.732422,16452.26563,28541.17969,0,17947.39648,9194.180664,7009.242676,10214.17676,3689.565674,18315.00391,10504.11914,8598.978516,7883.032227,0,12772.12109,28813.08789,97212.55469,35219.125,30889.38281,39943.69531,0.126920000000041
"833.47037 Da 293.78 s",417.74246,4.9,0,0,0,494.0796814,0,0,0,868.5221558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112.321045,1301.925537,2352.719727,0,0,0,1765.63855,1740.777954,2060.29541,9131.71875,7838.558594,8637.481445,0,18114.0918,0,7478.641113,0,7925.389648,0,0,0,0.742459999999994
"405.37268 Da 324.32 s",406.37995,5.41,0,0,0,1938.358032,1614.485474,0,0,0,0,0,0,0,0,0,0,0,0,0,7039.39502,8224.056641,8049.257324,0,0,0,0,0,0,0,0,0,1816.387817,0,1593.807861,0,0,0,0,0,894.37146,0,0,0,0,0,0,0.379950000000008
"1293.35540 Da 486.71 s",1294.36268,8.11,43257.57031,50344.40625,33389.66797,0,0,0,0,0,0,0,0,4694.085938,0,0,0,0,0,992.6509399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,854.5,713.0413818,0,0.362679999999955
"423.32982 Da 368.26 s",424.33709,6.14,0,0,0,32115.57813,39505.83594,0,34564.13672,13580.29492,32844.05859,16155.39648,16734.18359,15836.07813,0,0,0,6764.038086,5480.766602,0,0,20341.75781,2926,0,0,14245.51367,0,4326.703125,7827,0,0,0,2191.445068,2365.015381,0,15092.31055,6458.479004,14800.10742,0,0,0,6887.413086,0,5264,0,1356.071411,0,0.337089999999989
"459.29254 Da 278.08 s",460.29982,4.63,707.8643188,0,911.6072388,1265.508911,932.4885254,0,1628.275024,0,1889.673828,0,1556.134399,0,0,0,783.9440918,926.7467041,1120.668335,1124.248535,1432.479004,0,0,1774.040527,1739.467041,1915.880127,2500.990234,2537.986328,2307.506836,0,0,0,3488.429443,4018.958496,4340.22168,23271.07422,20674.04688,22057.47852,0,46958.01563,3506.974854,14094.70703,1567.985107,17466.27344,982.2652588,968.8434448,0,0.299820000000011
"829.27228 Da 564.63 s",830.27956,9.41,14523.34668,20325.94531,19035.53516,23037.09961,3685.608398,5162.746582,7951.955078,2541.911621,5586.084961,8655.022461,0,0,0,7863.132813,1898.302612,6676.117188,1134.389282,0,509.3994751,479.0846863,1032.789673,2292.997803,0,1945.352905,1303.635986,0,0,562.1524048,621.4599609,428.5067444,635.6588745,0,0,534.3981934,0,0,0,0,0,0,739.7929688,1188.891113,1366.194824,669.0774536,426.3968201,0.279559999999947
"938.62084 Da 472.82 s",939.62811,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4288.024902,0,0,0,0,6297.008789,4791.085938,3111.144287,0,0,2644,0,0,0,7184.880859,0,7245.384766,11510.24512,11317.29395,10537.93945,0,7994.854492,6227.964355,0,0,0,0.628109999999992
"816.59188 Da 542.28 s",817.59916,9.04,13137.26563,9418.380859,0,0,8761.132813,0,0,10904.4834,8812.753906,0,8331.704102,11750.52734,0,9836.517578,9248.669922,0,6764.320313,0,0,1032.617554,0,3537.157227,0,0,2189.933838,2586.32666,762.7087402,0,0,0,0,0,0,0,0,0,743.1888428,814.0241699,1402.43103,0,1778.220093,0,0,0,0,0.599159999999983
