Compound,mz,rt,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12871,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12872,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12873,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12912,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12938,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12966,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12909,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12935,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12964,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12913,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12931,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12960,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12910,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12933,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12957,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12914,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12940,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12963,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12911,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12936,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12958
272.12304 Da 219.79 s,273.13032,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421.22506 Da 219.95 s,422.23234,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346.18409 Da 219.81 s,347.19137,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624.23958 Da 220.47 s,647.22879,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378.20569 Da 219.93 s,379.21297,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323.18113 Da 219.90 s,324.18841,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329.04390 Da 220.21 s,330.05118,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544.35672 Da 220.69 s,545.364,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419.12841 Da 220.02 s,420.13568,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625.31541 Da 220.02 s,626.32269,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.28917 Da 219.93 s,410.29644,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626.33519 Da 219.96 s,627.34247,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354.06369 Da 221.91 s,337.0607,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354.06369 Da 221.91 s,393.0267,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354.06369 Da 221.91 s,377.05287,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354.06369 Da 221.91 s,355.07096,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243.08722 Da 220.94 s,226.08412,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359.22598 Da 221.69 s,342.22404,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359.22598 Da 221.69 s,360.23366,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301.14896 Da 221.40 s,324.13835,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259.13939 Da 221.88 s,242.13632,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627.31986 Da 221.44 s,610.31677,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217.03574 Da 220.46 s,200.0325,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813.41920 Da 221.54 s,814.42648,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670.32513 Da 221.98 s,671.33241,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428.11707 Da 222.81 s,429.12434,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623.32500 Da 221.89 s,624.33227,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328.17522 Da 220.19 s,329.1825,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679.24530 Da 221.90 s,340.62993,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457.07193 Da 221.21 s,458.07921,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
