"FEATURE_ID","RT","PEPMASS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","sample_blank_MeanIntensity","sample_full_mix_MeanIntensity","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
13,5.69,266.26134,12.608,"9-octadecenal","C18H34O",ION=[M+H]+,,,2146.71,1849.93,1128.72,1734.87,1668.20,2146.71,1207.31,2104.16,74.68
14,5.69,306.29242,,,,ION=[M+H]+,,,1439.41,1185.80,841.56,1016.45,1198.43,1342.51,1085.26,1439.41,0.00
15,5.70,348.33910,,,,ION=[M+H]+,,,977.56,645.99,440.53,449.92,644.62,843.43,344.03,977.56,0.00
16,5.70,1220.98381,,,,ION=[M+H]+,,,7539.67,6621.57,4172.45,6595.94,5909.84,7358.91,4977.68,7539.67,0.00
17,5.70,334.32360,,,,ION=[M+H]+,,,1695.34,1437.07,871.93,1439.07,1244.38,1627.76,920.44,1695.34,0.00
18,5.70,320.30769,,,,ION=[M+H]+,,,2704.36,2157.64,1313.65,1982.83,1785.73,2704.36,1275.11,2665.85,0.00
19,5.70,294.29231,,,,ION=[M+H]+,,,3620.66,3119.24,1729.58,3064.80,2672.26,3620.66,1595.39,3593.34,0.00
20,5.70,322.32358,,,,ION=[M+H]+,,,1354.10,1157.95,719.71,943.90,1196.01,1333.95,805.04,1354.10,0.00
21,5.72,282.29245,,,,ION=[M+H]+,,,4130.10,3439.97,1949.74,3510.58,2679.23,4130.10,1889.10,3949.65,10.48
22,5.72,70.07800,,,,ION=[M+H]+,,,7247.27,4418.16,2953.37,4354.66,1752.07,7147.76,1017.59,7247.27,595.26
23,5.72,397.24015,230.811,"S32826","C21H36NO4P",ION=[M+H]+,,"1096770-84-1",602.48,499.79,348.30,409.46,553.09,536.81,442.43,602.48,0.00
24,5.72,1023.95133,,,,ION=[M+H]+,,,3524.28,3153.33,1907.54,2846.51,3129.34,3484.15,3524.28,2190.67,7.68
25,5.74,264.24533,,,,ION=[M+H]+,,,681.56,549.79,412.41,434.79,632.93,581.64,507.03,681.56,48.64
26,5.74,356.21411,NA,"(R,E)-S-2-acetamido-13-(methylamino)-13-oxotridec-3-enyl ethanethioate","C18H32N2O3S",ION=[M+H]+,,,977.00,918.25,555.59,841.57,963.91,949.27,689.76,977.00,0.00
27,5.74,357.21097,NA,"Farnesyl Thiosalicylic Acid Amide","C22H31NOS",ION=[M+H]+,,"1092521-74-8",790.54,597.81,426.72,618.01,578.09,597.34,489.63,790.54,0.00
28,5.74,82.07789,,,,ION=[M+H]+,,,1080.54,902.88,576.29,984.60,1016.37,707.66,395.05,1080.54,253.27
29,5.77,765.39462,,,,ION=[M+H]+,,,997.27,841.16,595.33,997.27,815.26,710.96,979.52,806.46,0.00
30,5.79,472.31320,204.965,"N-[2-[cyclohexyl(methyl)amino]ethyl]-4-[1-methyl-3-(pyrrolidine-1-carbonyl)-6,7-dihydro-4H-pyrazolo[4,3-c]pyridin-5-yl]-4-oxobutanamide","C25H40N6O3",ION=[M+H]+,,,1453.01,1143.33,564.87,1050.01,1453.01,926.96,893.17,801.43,0.00
31,5.79,312.88603,,,,ION=[M+H]+,,,4760.72,893.77,1691.54,1707.46,422.64,551.21,313.91,0.00,4760.72
32,5.80,236.21441,9.906,"5-Cyclohexadecen-1-one","C16H28O",ION=[M+H]+,,,4133.97,3704.15,2427.60,3320.56,4133.97,3657.93,2901.22,3510.58,870.99
33,5.83,368.25028,,,,ION=[M+H]+,,,1207.48,1039.16,614.24,959.31,950.69,1207.48,765.86,1076.86,0.00
34,5.87,340.21906,,,,ION=[M+H]+,,,1215.08,1078.49,663.81,991.05,1100.08,1144.35,776.34,1215.08,0.00
35,6.05,208.18269,,,,ION=[M+H]+,,,3368.95,2875.89,1841.14,2387.00,3368.95,2871.72,2469.57,2796.15,257.69
36,6.07,314.14929,13.012,"[3-[5-(1-methylpyrrolidin-2-yl)-1,2,4-oxadiazol-3-yl]azetidin-1-yl]-pyrazin-2-ylmethanone","C15H18N6O2",ION=[M+H]+,,,4255.70,4046.92,1309.26,3859.16,4255.70,4025.91,1549.79,2361.18,16.80
37,6.17,398.29772,,,,ION=[M+H]+,,,1859.53,1603.36,1095.86,1338.25,1612.31,1859.53,1440.33,1847.24,0.00
38,6.19,610.89115,,,,ION=[M+H]+,,,1776.58,1474.64,1024.13,1095.52,1551.82,1776.58,1540.17,1532.22,0.00
39,6.29,131.95739,,,,ION=[M+H]+,,,17925.79,17410.66,4464.96,17419.54,17925.79,16886.64,6224.75,7099.02,71.13
40,6.31,380.06221,32.074,"[3-(4-fluorophenyl)-1,2,4-oxadiazol-5-yl]methyl 2,5-dimethyl-1,1-dioxo-1,2,6-thiadiazine-4-carboxylate","C15H13FN4O5S",ION=[M+H]+,,,2416.25,2039.39,1313.27,1801.64,1900.29,2416.25,1914.99,2024.82,0.00
41,6.32,227.90393,,,,ION=[M+H]+,,,18938.35,9410.49,8241.63,15704.83,6180.78,6345.87,5759.33,18938.35,27.21
42,6.35,103.23369,,,,ION=[M+H]+,,,1345.45,1044.58,618.31,764.30,1160.91,1208.51,509.49,1345.45,0.00
43,6.36,502.34797,,,,ION=[M+H]+,,,2347.22,2331.11,1315.68,2347.22,2317.90,2328.20,1742.45,2204.58,0.00
44,6.37,442.32638,58.640,"4-tert-butyl-N-[2-(2-methylpiperidin-1-yl)ethyl]-N-(3-oxo-3-piperazin-1-ylpropyl)benzamide","C26H42N4O2",ION=[M+H]+,,,1578.82,1554.63,887.19,1578.82,1539.83,1545.25,1238.29,1423.28,0.00
45,6.38,458.32199,,,,ION=[M+H]+,,,4377.08,4097.29,2444.00,4065.12,3849.67,4377.08,3342.87,3989.11,0.00
46,6.41,431.96642,,,,ION=[M+H+H2]3+,,,32331.61,29284.91,14377.64,27907.79,30570.19,29376.73,10563.02,32331.61,238.30
47,6.41,546.37421,,,,ION=[M+H]+,,,1606.90,1474.75,866.68,1298.94,1518.41,1606.90,1303.96,1293.54,2.55
48,6.41,356.25404,31.966,"LAGOCHILINE","C20H36O5",ION=[M+H]+,,,5996.84,5647.33,3417.53,5625.76,5319.39,5996.84,4666.65,5578.61,7.32
49,6.43,238.92346,,,,ION=[M+H]+,,,16093.02,14816.82,7615.03,13821.20,14536.24,16093.02,7573.55,15256.79,14.76
50,6.43,103.24614,,,,ION=[M+H]+,,,2524.63,2158.72,1312.63,1610.31,2480.97,2384.88,1413.27,2524.63,0.00
51,6.43,210.88701,,,,ION=[M+H]+,,,61305.23,54450.85,27837.76,51721.14,54942.94,56688.46,20389.85,61305.23,1818.21
52,6.43,133.95537,,,,ION=[M+H]+,,,11122.77,9846.19,4778.19,9821.76,10205.16,9511.64,3168.08,11122.77,43.71
53,6.44,284.13184,42.581,"{Benzo[g][2]benzopyrano[4,3-b]indol-5-one,} 5, {13-dihydro-13-[3-(dimethylamino)propyl]-,} monohydrochloride","C20H16N2",ION=[M+H]+,,,2898.27,2829.73,1088.08,2843.23,2747.70,2898.27,1537.92,1722.80,3.53
54,6.44,400.27984,19.556,"Leu Ile Arg","C18H36N6O4",ION=[M+H]+,,,3282.76,3173.07,1960.44,3074.51,3161.93,3282.76,2767.42,3113.90,0.00
55,6.44,370.26954,,,,ION=[M+H]+,,,35310.98,32635.76,19510.12,32287.50,30308.80,35310.98,28482.14,30034.63,13.58
56,6.44,103.08866,,,,ION=[M+H]+,,,2178.31,1870.45,1146.00,1346.70,2136.79,2127.86,1259.69,2178.31,0.00
57,6.45,103.03473,,,,ION=[M+H]+,,,5024.89,4205.29,2327.25,3812.70,4335.18,4467.98,1919.99,5024.89,36.87
58,6.46,144.08740,,,,ION=[M+H]+,,,2968.35,2369.78,1397.53,1234.18,2906.82,2968.35,1231.67,2957.01,3.91
59,6.48,339.38677,,,,ION=[M+H]+,,,1609.99,1519.82,940.93,1369.60,1609.99,1579.86,1418.87,1403.93,0.00
60,6.48,102.93710,,,,ION=[M+H]+,,,4935.36,4507.77,2136.21,4259.80,4638.69,4624.82,1473.27,4935.36,0.00
61,6.48,423.98925,,,,ION=[M+H]+,,,52741.95,51219.65,31106.32,52276.22,48640.80,52741.95,41008.36,52298.59,12.02
62,6.49,144.07633,,,,ION=[M+H]+,,,4021.81,3543.83,1871.27,3282.68,3671.85,3676.98,1581.94,4021.81,10.04
63,6.53,228.88628,,,,ION=[M+H]+,,,35260.16,31835.17,15551.45,29506.87,30738.48,35260.16,11008.62,34166.62,1479.12
64,6.53,181.18313,6.817,"Dicyclohexylamine","C12H23N",ION=[M+H]+,"C14686","101-83-7",10099.78,9783.72,4583.67,9463.90,9787.47,10099.78,3838.98,9752.47,159.57
65,6.53,238.88171,,,,ION=[M+H]+,,,45194.23,41513.00,20233.11,41293.84,38050.94,45194.23,14911.60,44355.86,1431.86
66,6.56,424.27975,29.833,"N-cyclohexyl-4-(3-oxo-1-pyridin-4-yl-2-azaspiro[3.5]nonan-2-yl)piperidine-1-carboxamide","C25H36N4O2",ION=[M+H]+,,,5563.38,5368.41,4482.91,5418.83,5123.04,5563.38,4959.57,5110.32,3378.82
67,6.56,89.92741,,,,ION=[M+H]+,,,4896.91,4281.42,2155.67,3640.15,4646.94,4557.17,1570.11,4896.91,0.00
68,6.58,214.88320,,,,ION=[M+H]+,,,13033.64,11934.96,5819.14,11217.17,11967.23,12620.48,4228.74,13033.64,195.03
69,6.58,87.10450,,,,ION=[M+H]+,,,12277.48,10911.08,5622.07,10984.07,10869.08,10880.09,4474.00,12277.48,114.72
70,6.61,283.32382,21.366,"CETRIMONIUM","C19H41N",ION=[M+H]+,,"57-09-0",3038.76,2725.83,1667.77,2673.04,2465.68,3038.76,2323.25,2680.06,0.00
71,6.62,101.12038,5.416,"Dipropylamine","C6H15N",ION=[M+H]+,,,25508.15,24631.37,12567.21,24030.52,24675.70,25187.91,10683.03,25508.15,1510.44
72,6.63,115.13605,NA,"DIMETHYLPENTYLAMINE","C7H17N",ION=[M+H]+,,"13803-74-2",8190.47,7709.78,3710.56,7275.33,7663.55,8190.47,4019.66,7049.59,62.41
73,6.64,379.13234,39.456,"2-[1-(5-chloro-2-methylphenyl)-6-oxopyridazin-3-yl]oxy-N-(2-methoxyethyl)butanamide","C18H22ClN3O4",ION=[M+H]+,"0",,2843.21,2341.19,1395.87,2843.21,2069.62,2110.73,1739.61,2448.01,0.00
74,6.66,367.41761,18.935,"1-Dodecanamine, N-dodecyl-N-methyl-","C25H53N",ION=[M+H]+,,,8869.81,8245.94,5163.47,8099.81,7768.21,8869.81,7557.90,7932.49,0.00
75,6.66,211.88998,,,,ION=[M+H]+,,,5370.28,3526.69,2393.72,1384.60,4710.65,4484.82,1670.87,5370.28,140.01
76,6.68,348.17606,13.652,"N-[(2,5-difluorophenyl)methyl]-7-(2-methylpropyl)-6,8-dihydro-5H-imidazo[1,2-a]pyrazine-2-carboxamide","C18H22F2N4O",ION=[M+H]+,,,2568.49,2332.48,1119.69,2461.69,1967.26,2568.49,1336.32,2019.15,3.61
77,6.74,260.12367,,,,ION=[M+H]+,,,4792.58,4652.67,2112.11,4792.58,4502.55,4662.90,2415.89,3892.73,27.72
78,6.74,304.14991,,,,ION=[M+H]+,,,3392.25,3138.11,1662.78,3162.82,2859.27,3392.25,1773.07,3197.86,17.41
79,6.74,219.88722,,,,ION=[M+H]+,,,6533.93,5815.25,2881.11,5850.73,5658.30,5936.71,2100.70,6533.93,8.70
80,6.76,232.90769,,,,ION=[M+H]+,,,7124.80,6318.32,3181.41,6578.45,6110.85,6265.66,2264.35,7124.80,155.08
81,6.78,1013.74499,,,,ION=[M+H]+,,,1969.47,1738.06,951.84,1301.59,1943.13,1969.47,952.66,1902.86,0.00
82,6.85,945.75761,,,,ION=[M+H]+,,,3517.17,3046.37,1755.70,2464.66,3157.29,3517.17,1760.45,3506.65,0.00
83,6.86,63.96982,,,,ION=[M+H]+,,,27270.75,17577.71,12170.44,0.00,25462.39,27270.75,10078.14,25834.24,598.93
84,6.93,59.07334,5.393,"Trimethylamine","C3H9N",ION=[M+H]+,"C00565","75-50-3",9786.98,6163.33,4310.35,269.20,8828.81,9391.98,2169.01,9786.98,975.06
85,6.93,809.78300,,,,ION=[M+H]+,,,2559.82,1915.23,1181.68,686.20,2528.09,2531.41,985.22,2559.82,0.00
86,7.04,877.77085,,,,ION=[M+H]+,,,3909.12,3341.66,1783.34,2691.17,3424.70,3909.12,1783.69,3566.33,0.00
87,7.06,131.90741,,,,ION=[M+H]+,,,3561.89,3368.08,1671.47,3311.63,3230.72,3561.89,1083.20,3499.69,431.53
88,7.07,565.88158,,,,ION=[M+H]+,,,65005.41,60399.49,29298.55,53156.85,63036.22,65005.41,24144.12,62527.73,1223.80
89,7.08,837.83133,,,,ION=[M+H]+,,,34401.80,31549.81,15361.58,26352.94,33894.69,34401.80,13632.53,32442.14,10.07
90,7.10,157.91540,,,,ION=[M+H]+,,,10259.98,10011.98,5191.09,9533.35,10259.98,10242.62,3747.20,10175.89,1650.18
91,7.11,361.91902,,,,ION=[M+H]+,,,89059.16,82779.05,42448.38,73948.58,85329.40,89059.16,35579.54,86776.35,4989.24
92,7.11,265.88368,,,,ION=[M+H]+,,,3966.79,3535.14,1787.93,2946.35,3793.72,3865.35,1300.70,3966.79,96.29
93,7.12,1245.75555,,,,ION=[M+H]+,,,7395.85,6573.81,3349.23,4963.23,7362.34,7395.85,2967.50,7080.19,0.00
94,7.12,701.85623,,,,ION=[M+H]+,,,54467.18,50310.74,24966.04,42918.01,53547.03,54467.18,21515.06,52939.77,443.29
95,7.12,126.94574,,,,ION=[M+H]+,,,24950.88,23952.69,12739.20,23768.90,23759.79,24329.39,9240.25,24950.88,4026.46
96,7.15,905.81848,,,,ION=[M+H]+,,,32430.80,29517.11,14138.40,24862.79,31257.74,32430.80,12423.00,29992.20,0.00
97,7.15,633.86867,,,,ION=[M+H]+,,,58356.59,53302.14,26470.27,45761.98,55787.86,58356.59,23378.38,55555.71,476.71
98,7.16,207.00717,,,,ION=[M+H]+,,,29239.19,25200.93,14946.91,23747.10,25621.84,26233.87,7657.32,29239.19,7944.21
99,7.17,769.84343,,,,ION=[M+H]+,,,36171.75,32729.76,16086.07,27740.62,34276.91,36171.75,14201.00,34037.82,19.40
100,7.17,170.93595,,,,ION=[M+H]+,,,27346.43,26652.95,14139.23,25956.51,26655.91,27346.43,10169.41,26537.53,5710.74
101,7.20,497.89380,,,,ION=[M+H]+,,,66402.52,61542.55,29550.45,54915.96,63309.18,66402.52,23566.97,63661.82,1422.54
102,7.21,1177.76705,,,,ION=[M+H]+,,,9854.26,8731.65,4384.64,6747.79,9854.26,9592.91,3870.31,9283.62,0.00
103,7.23,1109.78117,,,,ION=[M+H]+,,,11505.74,10372.24,5197.53,8368.96,11242.02,11505.74,4676.63,10915.97,0.00
104,7.25,1041.79334,,,,ION=[M+H]+,,,13477.97,12105.17,6066.73,9899.59,12937.94,13477.97,5263.42,12936.77,0.00
105,7.27,973.80606,,,,ION=[M+H]+,,,22630.00,20371.14,9942.78,16491.96,21991.46,22630.00,8617.82,21210.52,0.00
106,7.28,429.90665,,,,ION=[M+H]+,,,76012.27,70122.15,34790.37,63522.82,70831.35,76012.27,27710.32,72542.54,4118.26
107,7.33,1075.78788,,,,ION=[M+H]+,,,2349.10,2104.90,892.10,1655.75,2309.86,2349.10,657.50,2018.80,0.00
108,7.38,197.01181,,,,ION=[M+H]+,,,17687.87,15255.54,9836.55,15017.28,15240.67,15508.67,5244.26,17687.87,6577.51
109,7.39,190.00439,,,,ION=[M+H+H]2+,,,2543.22,997.07,1859.01,28.61,1006.63,1955.98,1274.60,1759.21,2543.22
110,7.40,1211.76227,,,,ION=[M+H]+,,,1812.54,1469.44,598.43,1029.05,1812.54,1566.74,438.41,1356.87,0.00
111,7.41,1143.77687,,,,ION=[M+H]+,,,2206.67,1980.73,811.52,1552.82,2206.67,2182.69,537.70,1896.86,0.00
112,7.43,1007.79996,,,,ION=[M+H]+,,,2849.25,2511.84,1051.87,1942.72,2849.25,2743.55,654.00,2501.61,0.00
113,7.70,80.94620,,,,ION=[M+H]+,,,7152.68,4454.01,2594.87,1368.13,6092.27,5901.63,472.30,7152.68,159.62
114,7.87,923.76813,,,,ION=[M+H]+,,,4057.71,3544.46,1543.05,4057.71,3277.59,3298.08,1221.55,3407.60,0.00
115,7.90,991.75565,,,,ION=[M+H]+,,,2316.55,2263.97,845.02,2307.43,2316.55,2167.92,258.98,2270.83,5.26
116,7.90,204.88740,,,,ION=[M+H]+,,,8706.45,5925.70,5054.36,7673.62,1522.22,8581.25,6432.74,8706.45,23.89
117,7.99,922.76780,,,,ION=[M+H]+,,,3228.42,3135.60,778.58,3228.42,3093.50,3084.86,347.85,1963.00,24.91
118,8.13,854.77956,,,,ION=[M+H]+,,,3419.52,2841.01,1010.84,3419.52,2366.41,2737.08,736.62,2295.89,0.00
119,8.15,97.50456,,,,ION=[M+H]+,,,26877.48,3327.84,12158.96,44.75,4763.48,5175.29,2041.13,26877.48,7558.26
120,8.17,939.81289,,,,ION=[M+H]+,,,3326.68,3002.17,1536.49,2532.22,3326.68,3147.62,1650.18,2959.28,0.00
121,8.25,650.81844,,,,ION=[M+H]+,,,4452.65,3711.41,1327.33,3564.64,4452.65,3116.94,928.76,3053.22,0.00
122,8.33,451.85134,,,,ION=[M+H]+,,,3624.12,3175.36,1981.00,2599.48,3505.40,3421.19,219.46,3624.12,2099.43
123,8.48,855.78049,,,,ION=[M+H]+,,,4619.18,3997.17,2327.71,4619.18,3817.47,3554.86,3210.16,3759.59,13.39
124,8.50,81.98787,,,,ION=[M+H]+,,,5036.27,3435.88,93.79,5036.27,4382.66,888.71,251.20,0.00,30.17
125,8.50,242.87830,,,,ION=[M+H]+,,,8511.89,6953.10,2778.96,8360.64,8511.89,3986.78,4453.28,3880.49,3.11
126,8.56,787.79241,,,,ION=[M+H]+,,,4293.89,3673.20,2244.82,4293.89,3209.35,3516.36,3159.83,3477.89,96.74
127,8.59,381.86621,,,,ION=[M+H]+,,,4732.27,3070.30,2360.51,2879.28,3923.29,2408.35,774.70,4732.27,1574.56
128,8.62,582.83103,,,,ION=[M+H]+,,,3726.73,2796.56,1519.24,2966.09,2875.29,2548.30,781.13,3726.73,49.85
129,8.64,514.84424,,,,ION=[M+H]+,,,4557.04,3719.44,1402.46,4557.04,3219.45,3381.82,920.76,3282.18,4.44
130,8.65,447.85599,,,,ION=[M+H]+,,,11209.61,9486.75,8064.31,11209.61,8638.19,8612.46,9452.58,9361.36,5379.00
131,8.66,719.80648,,,,ION=[M+H]+,,,6070.24,5205.99,3249.61,6070.24,4872.11,4675.62,4507.14,5241.68,0.00
132,8.69,243.89458,,,,ION=[M+H]+,,,7997.53,3888.87,5847.18,4053.91,3853.87,3758.83,4919.82,4624.21,7997.53
133,8.72,311.88156,,,,ION=[M+H]+,,,16048.50,10588.70,12394.88,12328.78,9726.09,9711.23,10860.30,10275.85,16048.50
134,8.72,446.85649,,,,ION=[M+H]+,,,5362.82,4529.19,1954.30,5362.82,5014.85,3209.89,1210.11,3274.29,1378.50
135,8.75,315.87755,,,,ION=[M+H]+,,,6204.98,3836.39,4649.09,4067.91,3693.21,3748.04,3862.69,3879.60,6204.98
136,8.82,379.86839,,,,ION=[M+H]+,,,8354.63,7483.21,6410.23,7718.38,7294.81,7436.44,8354.63,8117.55,2758.51
137,8.86,651.81842,,,,ION=[M+H]+,,,5915.01,5491.16,3731.78,5915.01,5319.52,5238.96,4980.54,5499.46,715.34
138,8.96,583.83065,,,,ION=[M+H]+,,,6151.23,5214.34,3534.89,6151.23,4615.16,4876.63,4756.93,5005.22,842.51
139,9.04,378.86947,,,,ION=[M+H]+,,,3225.99,2964.10,1557.47,3219.49,2964.52,2708.30,794.22,3225.99,652.20
140,9.08,310.88149,,,,ION=[M+H]+,,,3479.01,3268.39,1836.18,3479.01,3372.07,2954.08,917.15,3220.43,1370.97
141,9.08,718.80709,,,,ION=[M+H]+,,,4442.57,3509.75,1536.47,4442.57,3130.28,2956.41,1572.41,3013.04,23.95
142,9.15,89.99367,,,,ION=[M+H]+,,,13905.98,6580.88,7137.22,10119.88,9622.75,0.00,2535.12,13905.98,4970.57
143,9.19,515.84330,,,,ION=[M+H]+,,,8413.47,7006.88,4956.43,8413.47,6166.52,6440.65,6643.93,6800.16,1425.20
144,9.22,181.98391,,,,ION=[M+H+H]2+,,,8015.22,5455.33,3356.96,6506.52,5651.77,4207.70,0.00,8015.22,2055.66
145,9.82,163.97542,,,,ION=[M+H+H]2+,,,5907.14,1969.86,3984.17,3622.27,0.00,2287.31,3371.29,5907.14,2674.07
146,9.83,383.86409,,,,ION=[M+H]+,,,3086.90,1839.10,2038.38,55.44,2721.08,2740.78,3000.58,3086.90,27.66
147,9.94,369.85728,,,,ION=[M+H]+,,,2927.15,2328.38,1707.39,2679.36,2313.73,1992.06,2178.72,2927.15,16.30
148,10.36,106.95178,,,,ION=[M+H]+,,,8009.22,4730.46,3963.46,6453.62,5629.36,2108.40,1009.73,8009.22,2871.44
149,10.42,83.07327,NA,"2-Methyl-1-Pyrroline","C5H9N",ION=[M+H]+,,"872-32-2",5299.88,2274.62,2342.90,772.46,3181.32,2870.08,1713.83,5299.88,15.00
150,10.75,42.04696,,,,ION=[M+H]+,,,36084.86,23368.38,24616.80,22706.08,23273.17,24125.89,14218.23,36084.86,23547.30
151,10.96,183.98457,,,,ION=[M+H+H]2+,,,4232.77,2826.17,328.07,241.03,4232.77,4004.69,929.71,0.00,54.51
152,11.25,168.95296,,,,ION=[M+H]+,,,11317.93,9163.70,4737.91,11317.93,8579.87,7593.29,3180.19,9246.13,1787.43
153,11.33,371.85545,,,,ION=[M+H]+,,,2599.96,1766.58,1481.18,2599.96,629.99,2069.79,2269.31,2174.23,0.00
154,11.36,161.97722,,,,ION=[M+H+H]2+,,,9364.71,2710.46,3739.28,382.87,6695.71,1052.80,1827.41,9364.71,25.74
155,11.61,76.99145,,,,ION=[M+H]+,,,15506.70,3283.73,7885.12,0.00,9851.20,0.00,7477.15,15506.70,671.50
156,11.72,699.97143,,,,ION=[M+H]+,,,9553.92,8819.62,4016.69,8498.83,9409.18,8550.86,2462.74,9553.92,33.41
157,34.06,184.97624,,,,ION=[M+H]+,,,5029.64,4182.56,1880.32,3812.43,5029.64,3705.60,371.38,1424.26,3845.32
158,34.07,66.50261,,,,ION=[M+H]+,,,27485.63,6370.58,9366.17,7648.64,6714.65,4748.43,612.87,0.00,27485.63
159,35.28,158.05426,,,,ION=[M+H+H]2+,,,22242.23,6830.51,21001.63,7275.29,6716.49,6499.76,20648.66,22242.23,20113.98
160,35.44,83.95251,,,,ION=[M+H]+,,,66689.93,9924.49,63226.81,11462.18,10039.90,8271.40,60971.92,66689.93,62018.57
161,35.52,70.52241,,,,ION=[M+H]+,,,14532.23,4316.24,13628.85,4788.37,4932.02,3228.33,12966.83,14532.23,13387.49
162,35.89,156.02192,,,,ION=[M+H+H]2+,,,735366.75,462198.98,70635.48,633264.25,735366.75,17965.93,63685.86,80692.59,67527.98
163,35.99,163.05990,,,,ION=[M+H+H]2+,,,14801.44,4461.59,13089.07,4444.60,5617.45,3322.70,12690.67,14801.44,11775.09
164,35.99,174.03179,,,,ION=[M+H+H]2+,,,31819.37,10348.26,29989.74,21005.80,10038.98,0.00,28811.72,31819.37,29338.14
165,36.30,96.98386,,,,ION=[M+H+H]2+,,,46733.78,3440.80,44809.68,0.00,8755.25,1567.14,43941.68,46733.78,43753.60
166,36.41,142.04161,,,,ION=[M+H+H]2+,,,12300.47,3093.72,11675.70,4190.46,3788.10,1302.61,11351.44,12300.47,11375.17
167,37.28,117.02726,,,,ION=[M+H+H]2+,,,4262.65,1385.71,3856.98,1342.76,1512.94,1301.45,3757.35,4262.65,3550.92
168,37.29,81.00667,,,,ION=[M+H]+,,,5348.61,1547.37,5006.26,1771.60,1696.57,1173.96,5095.48,5348.61,4574.68
169,37.45,132.02842,,,,ION=[M+H+H]2+,,,7316.59,739.46,6652.17,468.51,1174.22,575.66,5634.94,7316.59,7004.98
170,37.59,124.03068,,,,ION=[M+H+H]2+,,,7307.22,1304.11,6250.13,1770.54,1853.01,288.79,5358.00,7307.22,6085.16
171,37.61,213.91092,,,,ION=[M+H]+,,,8056.92,461.99,7815.08,447.44,938.52,0.00,8056.92,7938.08,7450.22
172,38.91,37.95588,,,,ION=[M+H]+,,,27581.48,10126.68,23348.12,5918.44,13358.87,11102.73,21165.88,21296.98,27581.48
173,38.91,238.15474,,,,ION=[M+H]+,,,588590.44,551088.41,99600.22,588590.44,567259.63,497415.16,134568.67,140786.59,23445.40
174,39.22,308.19651,,,,ION=[M+H]+,,,114049.21,78629.14,29496.51,114049.21,110655.04,11183.16,24815.96,25914.65,37758.92
175,40.16,212.13922,,,,ION=[M+H]+,,,56241.90,13959.25,37455.94,12702.83,22770.18,6404.74,56241.90,47720.23,8405.67
176,40.33,170.09222,,,,ION=[M+H]+,,,54182.38,12172.22,37253.83,18877.99,8430.08,9208.59,54182.38,49253.17,8325.95
177,41.16,251.11783,NA,"4-methyl-N-(4-methylpyrimidin-2-yl)quinazolin-2-amine","C14H13N5",ION=[M+H]+,,,3727.92,36.89,3416.48,0.00,14.64,96.04,3311.99,3727.92,3209.52
178,43.45,270.11219,1.962,"5-(2-methoxyphenyl)-3-[(2-methylimidazol-1-yl)methyl]-1,2,4-oxadiazole","C14H14N4O2",ION=[M+H]+,,,215190.28,17.61,209468.42,52.82,0.00,0.00,202127.47,215190.28,211087.50
179,44.42,150.97633,,,,ION=[M+H]+,,,5945.80,26.68,5525.43,0.00,27.39,52.64,4922.32,5945.80,5708.18
180,44.75,138.07933,,,,ION=[M+H]+,,,50803.88,341.45,42451.60,0.00,483.74,540.61,35544.12,50803.88,41006.80
181,45.42,262.00616,,,,ION=[M+H]+,,,12877.17,14.68,12700.55,0.00,0.00,44.04,12604.05,12620.44,12877.17
182,46.42,281.04213,,,,ION=[M+H]+,,,7034.25,63.38,6409.22,38.66,65.26,86.22,7034.25,6277.26,5916.17
183,48.40,69.06745,,,,ION=[M+H]+,,,120160.20,253.07,107103.19,459.44,299.77,0.00,103974.61,120160.20,97174.77
184,48.70,141.95894,,,,ION=[M+H]+,,,28582.77,21464.76,1662.78,28582.77,19325.74,16485.76,75.54,3098.37,1814.44
185,48.71,193.11053,,,,ION=[M+H]+,,,11870.32,11575.80,1370.39,11870.32,11666.14,11190.93,67.66,2228.60,1814.89
186,49.36,470.78328,,,,ION=[M+H]+,,,3052.99,44.41,2613.26,0.00,90.83,42.40,3052.99,2760.28,2026.51
187,50.16,116.04775,4.762,"Acetoxyacetone","C5H8O3",ION=[M+H]+,,"592-20-1",25690.81,16.58,22105.50,0.00,49.73,0.00,19594.55,25690.81,21031.14
188,50.72,125.96385,,,,ION=[M+H]+,,,30423.54,24436.16,2408.71,18654.09,30423.54,24230.84,0.00,3699.55,3526.59
189,66.30,58.04183,2.419,"Propionaldehyde","C3H6O",ION=[M+H]+,"C00479","123-38-6",191639.61,83662.75,59112.08,191639.61,31999.28,27349.38,76059.01,92962.21,8315.01
190,67.22,214.00944,,,,ION=[M+H]+,,,144534.03,48.93,113049.76,0.00,0.00,146.79,56392.80,144534.03,138222.44
191,68.55,365.95857,,,,ION=[M+H]+,,,11821.04,55.73,8797.04,0.00,0.00,167.18,11821.04,8387.81,6182.27
192,69.52,128.01080,,,,ION=[M+H]+,,,24970.19,66.42,20826.53,116.06,27.14,56.06,24970.19,18854.85,18654.55
193,73.02,185.03166,,,,ION=[M+H]+,,,52193.91,38.45,48896.88,0.00,0.00,115.34,47519.93,46976.79,52193.91
