"ms1_id","ms2_id","mz","RTINMINUTES","omus","annotations","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
"1144","","121.966386","6.71116666666667","","",0,0,0,22812.16,17587,16173.89
"1159","","265.865978","6.7295","","",0,0,0,6281.75,5546.62,5267.55
"1161","","230.88962","6.73383333333333","","",0,0,0,5096.59,4307.15,4258.81
"1162","","290.88648","6.73316666666667","","",0,0,0,6075.07,6285.43,4529.47
"1169","","288.892456","6.72833333333333","","",0,0,0,5913.96,5627.76,4778.45
"1173","","81.033076","6.73","","",0,0,0,4434.5,5112.33,4576.5
"1177","","58.5043826","6.7325","","",0,0,0,48138.33,54298.09,53491.01
"1179","","279.904766","6.73833333333333","","",0,0,0,8093.28,7242.3,6768.21
"1182","mz118.08647rt6.73","118.086476","6.72816666666667","omu27","Abromine,Betaine,METHYL4-AMINOBUTYRATE,NORVALINE,VALINE,L-Valine",0,0,0,161404.28,173899.61,184030
"1189","mz375.26188rt6.74","375.2618726","6.7365","omu139","",0,0,0,293747.41,222547.11,237770.59
"1195","","99.006316","6.72716666666667","","",0,0,0,14126.24,13771.38,13965.65
"1196","mz749.51484rt6.72","749.514836","6.72133333333333","omu135","Azithromycin",0,0,0,80878.42,81147.33,67423.34
"1197","","95.011736","6.745","","",0,0,0,4479.72,5094.73,3951.3
"1200","mz138.98009rt5.04","138.980066","6.72666666666667","omu141","",0,0,0,23320.44,20278.31,21753.91
"1202","","83.049356","6.73033333333333","","",0,0,0,4554.57,5241.25,6018.15
"1204","mz42.03365rt3.8","42.033726","6.738","omu28","",0,0,0,868434.75,610938.13,653806.38
"1207","","260.887496","6.742","","",0,0,0,7826.19,10173.97,8881.2
"1221","mz77.99866rt6.75","77.9986476","6.74616666666667","omu29","",0,0,0,412907.38,318639.94,320508.88
"1223","mz108.96116rt6.75","108.961156","6.75316666666667","omu30","",0,0,0,24725.49,19363.84,20265.64
"1227","mz281.87589rt6.77","281.875886","6.77266666666667","omu31","",0,0,0,20589.92,20420.49,19157.45
"1228","","304.891946","6.76783333333333","","",0,0,0,17835.63,17726.73,14327.72
"1235","","145.468016","6.823","","",0,0,0,45676.06,45638.57,48808.63
"1252","mz208.94436rt6.93","208.944366","6.93083333333333","omu32","",0,0,0,48492.77,58385.43,48710.46
"1254","mz130.96629rt6.93","130.966286","6.9345","omu145","",0,0,0,229460,187734.63,217501.5
"1257","mz148.97724rt6.97","148.977236","6.96516666666667","omu33","",0,0,0,175498.75,181823.36,188771.41
"1259","mz241.88395rt4.71","241.88354","7.02666666666667","omu34","",0,0,0,40485.21,41501.13,40877.48
"1261","mz213.88947rt7.03","213.889286","7.02966666666667","omu35","",0,0,0,5267.41,4954.48,5077.47
"1262","mz217.86033rt7.03","217.860336","7.028","omu36","",0,0,0,4986.85,4900.85,5479.37
"1264","mz253.90809rt7.03","253.908096","7.0295","omu37","",0,0,0,4579.62,5517.22,3987.78
"1266","mz286.88186rt7.03","286.881856","7.03266666666667","omu38","",0,0,0,5534.43,5154.74,5359.76
"1269","mz176.9722rt7.05","176.972196","7.04983333333333","omu39","",0,0,0,266564.53,272379.97,285909.22
"1289","mz185.11549rt7.36","185.115486","7.36233333333333","omu146","",0,0,0,54006.38,58075.61,49158.3
"1291","","157.083796","7.452","","",0,0,0,87741.59,77090.75,87180.67
"161","","71.529686","0.592","","",0,0,0,12966.83,14532.23,13387.49
"162","mz79.01824rt0.6","79.0182276","0.598166666666667","omu147","",0,0,0,63685.86,80692.59,67527.98
"164","mz88.02317rt0.6","88.0231626","0.599833333333333","omu40","",0,0,0,28811.72,31819.37,29338.14
"165","","49.4991976","0.605","","",0,0,0,43941.68,46733.78,43753.6
"166","","72.0280726","0.606833333333333","","",0,0,0,11351.44,12300.47,11375.17
"168","","82.013946","0.6215","","",0,0,0,5095.48,5348.61,4574.68
"169","","67.0214776","0.624166666666667","","",0,0,0,5634.94,7316.59,7004.98
"170","","63.0226076","0.6265","","",0,0,0,5358,7307.22,6085.16
"171","","214.918196","0.626833333333333","","",0,0,0,8056.92,7938.08,7450.22
"172","","38.963156","0.6485","","",0,0,0,21165.88,21296.98,27581.48
"177","","252.125106","0.686","","",0,0,0,3311.99,3727.92,3209.52
"178","","271.119466","0.724166666666667","","",0,0,0,202127.47,215190.28,211087.5
"179","","151.983606","0.740333333333333","","",0,0,0,4922.32,5945.8,5708.18
"180","","139.086606","0.745833333333333","","",0,0,0,35544.12,50803.88,41006.8
