"rowname" "name" "value"
"158" "F3D142" "F3D147" 0.25
"159" "F3D142" "F3D149" 0.265
"160" "F3D142" "F3D3" 0.3375
"161" "F3D142" "F3D142" 0
"162" "F3D142" "F3D148" 0.2775
"163" "F3D142" "F3D146" 0.2825
"164" "F3D142" "F3D145" 0.22
"165" "F3D142" "F3D5" 0.3775
"166" "F3D142" "F3D141" 0.29
"167" "F3D142" "F3D143" 0.2525
"168" "F3D142" "F3D7" 0.285
"169" "F3D142" "F3D0" 0.335
"170" "F3D142" "F3D144" 0.2625
"171" "F3D142" "F3D1" 0.5
"172" "F3D148" "F3D9" 0.395
"173" "F3D148" "F3D8" 0.4475
"174" "F3D148" "F3D6" 0.4225
"175" "F3D148" "F3D2" 0.4725
"176" "F3D148" "F3D150" 0.305
"177" "F3D148" "F3D147" 0.2075
"178" "F3D148" "F3D149" 0.2275
"179" "F3D148" "F3D3" 0.425
"180" "F3D148" "F3D142" 0.2775
"181" "F3D148" "F3D148" 0
"182" "F3D148" "F3D146" 0.23
"183" "F3D148" "F3D145" 0.205
"184" "F3D148" "F3D5" 0.38
"185" "F3D148" "F3D141" 0.2225
"186" "F3D148" "F3D143" 0.25
"187" "F3D148" "F3D7" 0.405
"188" "F3D148" "F3D0" 0.285
"189" "F3D148" "F3D144" 0.24
"190" "F3D148" "F3D1" 0.5
"191" "F3D146" "F3D9" 0.4075
"192" "F3D146" "F3D8" 0.4725
"193" "F3D146" "F3D6" 0.4175
"194" "F3D146" "F3D2" 0.4775
"195" "F3D146" "F3D150" 0.3175
"196" "F3D146" "F3D147" 0.245
"197" "F3D146" "F3D149" 0.26
"198" "F3D146" "F3D3" 0.42
"199" "F3D146" "F3D142" 0.2825
"200" "F3D146" "F3D148" 0.23
"201" "F3D146" "F3D146" 0
"202" "F3D146" "F3D145" 0.22
"203" "F3D146" "F3D5" 0.4175
"204" "F3D146" "F3D141" 0.245
"205" "F3D146" "F3D143" 0.2625
"206" "F3D146" "F3D7" 0.425
"207" "F3D146" "F3D0" 0.345
"208" "F3D146" "F3D144" 0.255
"209" "F3D146" "F3D1" 0.51
"210" "F3D145" "F3D9" 0.4425
"211" "F3D145" "F3D8" 0.495
"212" "F3D145" "F3D6" 0.4025
"213" "F3D145" "F3D2" 0.48
"214" "F3D145" "F3D150" 0.3525
"215" "F3D145" "F3D147" 0.1375
"216" "F3D145" "F3D149" 0.29
"217" "F3D145" "F3D3" 0.39
"218" "F3D145" "F3D142" 0.22
"219" "F3D145" "F3D148" 0.205
"220" "F3D145" "F3D146" 0.22
"221" "F3D145" "F3D145" 0
"222" "F3D145" "F3D5" 0.42
"223" "F3D145" "F3D141" 0.2525
"224" "F3D145" "F3D143" 0.27
"225" "F3D145" "F3D7" 0.3725
"226" "F3D145" "F3D0" 0.3575
"227" "F3D145" "F3D144" 0.1775
"228" "F3D145" "F3D1" 0.5675
"229" "F3D5" "F3D9" 0.275
"230" "F3D5" "F3D8" 0.32
"231" "F3D5" "F3D6" 0.3025
"232" "F3D5" "F3D2" 0.305
"233" "F3D5" "F3D150" 0.39
"234" "F3D5" "F3D147" 0.43
"235" "F3D5" "F3D149" 0.3525
"236" "F3D5" "F3D3" 0.29
"237" "F3D5" "F3D142" 0.3775
"238" "F3D5" "F3D148" 0.38
"239" "F3D5" "F3D146" 0.4175
"240" "F3D5" "F3D145" 0.42
"241" "F3D5" "F3D5" 0
"242" "F3D5" "F3D141" 0.3425
"243" "F3D5" "F3D143" 0.43
"244" "F3D5" "F3D7" 0.305
"245" "F3D5" "F3D0" 0.4175
"246" "F3D5" "F3D144" 0.3875
"247" "F3D5" "F3D1" 0.36
"248" "F3D141" "F3D9" 0.3475
"249" "F3D141" "F3D8" 0.41
"250" "F3D141" "F3D6" 0.3875
"251" "F3D141" "F3D2" 0.4325
"252" "F3D141" "F3D150" 0.25
"253" "F3D141" "F3D147" 0.27
"254" "F3D141" "F3D149" 0.2
"255" "F3D141" "F3D3" 0.3925
"256" "F3D141" "F3D142" 0.29
"257" "F3D141" "F3D148" 0.2225
"258" "F3D141" "F3D146" 0.245
"259" "F3D141" "F3D145" 0.2525
"260" "F3D141" "F3D5" 0.3425
"261" "F3D141" "F3D141" 0
"262" "F3D141" "F3D143" 0.2725
"263" "F3D141" "F3D7" 0.36
"264" "F3D141" "F3D0" 0.3125
"265" "F3D141" "F3D144" 0.29
"266" "F3D141" "F3D1" 0.47
"267" "F3D143" "F3D9" 0.42
"268" "F3D143" "F3D8" 0.445
"269" "F3D143" "F3D6" 0.4325
"270" "F3D143" "F3D2" 0.51
"271" "F3D143" "F3D150" 0.3175
"272" "F3D143" "F3D147" 0.2475
"273" "F3D143" "F3D149" 0.235
"274" "F3D143" "F3D3" 0.4325
"275" "F3D143" "F3D142" 0.2525
"276" "F3D143" "F3D148" 0.25
"277" "F3D143" "F3D146" 0.2625
"278" "F3D143" "F3D145" 0.27
"279" "F3D143" "F3D5" 0.43
"280" "F3D143" "F3D141" 0.2725
"281" "F3D143" "F3D143" 0
"282" "F3D143" "F3D7" 0.43
"283" "F3D143" "F3D0" 0.315
"284" "F3D143" "F3D144" 0.2325
"285" "F3D143" "F3D1" 0.53
"286" "F3D7" "F3D9" 0.32
"287" "F3D7" "F3D8" 0.295
"288" "F3D7" "F3D6" 0.19
"289" "F3D7" "F3D2" 0.365
"290" "F3D7" "F3D150" 0.4225
"291" "F3D7" "F3D147" 0.4175
"292" "F3D7" "F3D149" 0.3825
"293" "F3D7" "F3D3" 0.265
"294" "F3D7" "F3D142" 0.285
"295" "F3D7" "F3D148" 0.405
"296" "F3D7" "F3D146" 0.425
"297" "F3D7" "F3D145" 0.3725
"298" "F3D7" "F3D5" 0.305
"299" "F3D7" "F3D141" 0.36
"300" "F3D7" "F3D143" 0.43
"301" "F3D7" "F3D7" 0
