"FEATURE_ID","RT","PEPMASS","CCS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","newJC1_Blank-expanded-gradient_MeanIntensity","newJC1_Coculture-1-mg_mL-expanded-gradient_MeanIntensity","newJC1_JC1-0-25-mg_mL-expanded-gradient_MeanIntensity","newJC1_JC1-1-mg_mL-expanded-gradient_MeanIntensity","newJC1_Media-1-mg_mL-expanded-gradient_MeanIntensity","newJC1_Media-0-25-mg_mL-expanded-gradient_MeanIntensity","newJC1_Coculture-0-25-mg_mL-expanded-gradient_MeanIntensity","X121523_Blank_expanded_gradient_73_1_6075","X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6076","X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6077","X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6078","X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6079","X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6080","X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6081","X121523_Blank_expanded_gradient_73_1_6082","X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6083","X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6084","X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6085","X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6086","X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6087","X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6088","X121523_Blank_expanded_gradient_73_1_6089","X121523_UM1899B_JC1_0-25mgmL_expanded_gradient_82_1_6090","X121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6091","X121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6092","X121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6093","X121523_UM1901B_Coculture_0-25mgmL_expanded_gradient_84_1_6094","X121523_UM1900B_Media_0-25mgmL_expanded_gradient_83_1_6095"
3639,422.46,652.35522,145.99701,45.436,"NPA020114","C25H44N14O7","ION=[M+H]+","","",3304.61,0,0,793.18,2966.06,3180.83,853.1,0,0,0,870.69,3041.97,3186.06,923.95,0,0,0,0,692.06,2779.64,3051.81,858.28,0,816.8,0,3076.56,3304.61,0,777.06
3640,422.46,1541.77572,403.30704,64.857,"","C55H124K2N19O20P3","ION=[M+H+H]2+","","",2798.92,0,0,613.63,2043.68,2347.68,837.09,0,0,0,612.17,2027.22,2798.92,852.79,0,0,0,0,573.89,2065.49,2248.68,680.31,0,654.83,0,2038.34,1995.45,0,978.16
3641,421.66,652.35281,201.86284,38.899,"NPA020114","C25H44N14O7","ION=[M+H]+","","",4098.66,0,0,966.71,3174.57,3772.3,1251.35,0,0,0,962.07,3002.32,3551.88,1311.09,0,0,0,0,1069.88,3333.19,4098.66,1338.98,0,868.19,0,3188.2,3666.36,0,1103.99
3642,421.97,652.35307,161.30614,11.35,"NPA020114","C25H44N14O7","ION=[M+H]+","","",11080.88,0,0,2500.54,8005.35,10943.4,3182.21,0,0,0,2531.9,8198.43,10913.59,3020.47,0,0,0,0,2496.58,7582.94,11080.88,3398.32,0,2473.14,0,8234.7,10835.74,0,3127.83
3643,421.9,749.40435,160.49365,39.219,"","C21H61N13O12P2","ION=[M+H]+","","",1758.46,0,0,419.13,882.02,1663.17,421.35,0,0,0,487.43,0,1758.46,453.39,0,0,0,0,362.21,1249.12,1596.76,413.05,0,407.77,0,1396.93,1634.28,0,397.62
3644,423.81,688.42578,248.7824,15.317,"","C43H61O5P","ION=[M+H]+","","",51992.78,0,0,4442.49,24153.95,51579.32,8184.32,0,0,0,4441.18,23571.37,51773.68,8032.94,0,0,0,0,4418.25,24349.5,50971.5,8116.73,0,4468.03,0,24540.98,51992.78,0,8403.28
3645,423.73,596.38894,234.02704,37.166,"4-Ketocapsanthin","C40H52O4","ION=[M+H]+","","",4343.77,0,0,1256.19,4069.81,4129.8,1224.97,0,0,0,1204.61,4006.76,4343.77,1269.51,0,0,0,0,1274.09,4159.57,3854.63,1225.92,0,1289.87,0,4043.11,4191,0,1179.47
3646,423.55,1503.83042,348.57224,12.573,"","C61H113N23O19S","ION=[M+H+H]2+","","",4920.81,0,0,0,2335.79,4843.15,288.27,0,0,0,0,2359.76,4920.81,0,0,0,0,0,0,2232.36,4836.19,462.73,0,0,0,2415.25,4772.45,0,402.09
3647,423.28,679.38962,150.6795,13.767,"","C42H54N3O3P","ION=[M+H]+","","",7014.7,0,0,1574.28,4921.27,6826.67,1837.21,0,0,0,1723.76,4934.29,6875.71,1699.22,0,0,0,0,1510.15,4517.02,6589.61,2008.81,0,1488.94,0,5312.5,7014.7,0,1803.6
3648,423.88,222.14675,155.0885,14.384,"","C10H22O5","ION=[M+H]+","","",6848.62,0,0,1324.89,3499.31,6440.52,2270.46,0,0,0,1441.66,3583.07,6218.96,2202.7,0,0,0,0,1362.73,3335.65,6253.97,2287.84,0,1170.29,0,3579.21,6848.62,0,2320.84
