"ms1_id","ms2_id","mz","RTINMINUTES","omus","annotations","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
"68","","215.890476","0.109666666666667","","",11217.17,11967.23,12620.48,4228.74,13033.64,195.03
"69","","88.111776","0.109666666666667","","",10984.07,10869.08,10880.09,4474,12277.48,114.72
"70","mz284.33076rt4.58","284.331096","0.110166666666667","omu204","Hexadecyl-trimethylammonium",2673.04,2465.68,3038.76,2323.25,2680.06,0
"71","","102.127656","0.110333333333333","","",24030.52,24675.7,25187.91,10683.03,25508.15,1510.44
"72","","116.143326","0.1105","","",7275.33,7663.55,8190.47,4019.66,7049.59,62.41
"73","","380.139616","0.110666666666667","","",2843.21,2069.62,2110.73,1739.61,2448.01,0
"74","mz368.42477rt5.41","368.424886","0.111","omu205","Suberic acid bis(N-hydroxysuccinimide ester)",8099.81,7768.21,8869.81,7557.9,7932.49,0
"75","","212.897256","0.111","","",1384.6,4710.65,4484.82,1670.87,5370.28,140.01
"76","","349.183336","0.111333333333333","","",2461.69,1967.26,2568.49,1336.32,2019.15,3.61
"77","mz261.13122rt2.1","261.130946","0.112333333333333","omu206","Diaveridine,N,N`-diphenyl-p-phenylenediamine",4792.58,4502.55,4662.9,2415.89,3892.73,27.72
"78","mz305.15733rt2.23","305.157186","0.112333333333333","omu207","Hexaethylene glycol,Isopropyltriphenylphosphonium",3162.82,2859.27,3392.25,1773.07,3197.86,17.41
"79","","220.894496","0.112333333333333","","",5850.73,5658.3,5936.71,2100.7,6533.93,8.7
"80","","233.914966","0.112666666666667","","",6578.45,6110.85,6265.66,2264.35,7124.8,155.08
"81","","1014.752266","0.113","","",1301.59,1943.13,1969.47,952.66,1902.86,0
"82","","946.764886","0.114166666666667","","",2464.66,3157.29,3517.17,1760.45,3506.65,0
"83","","64.977096","0.114333333333333","","",0,25462.39,27270.75,10078.14,25834.24,598.93
"84","","60.080616","0.1155","","",269.2,8828.81,9391.98,2169.01,9786.98,975.06
"85","","810.790276","0.1155","","",686.2,2528.09,2531.41,985.22,2559.82,0
"86","","878.778126","0.117333333333333","","",2691.17,3424.7,3909.12,1783.69,3566.33,0
