Compound,mz,rt,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12871,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12872,250120_JMK_50MeOH_Blank_C18_pos_P2B1_1_12873,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12912,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12938,250120_JMK_UM2142_squid_clutch_C1_10Xdil_C18_pos_P2E1_1_12966,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12909,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12935,250120_JMK_UM2142_squid_clutch_C1_1mgml_C18_pos_P2C7_1_12964,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12913,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12931,250120_JMK_UM2143_squid_clutch_C5_10Xdil_C18_pos_P2E2_1_12960,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12910,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12933,250120_JMK_UM2143_squid_clutch_C5_1mgml_C18_pos_P2C8_1_12957,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12914,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12940,250120_JMK_UM2144_squid_clutch_C9_10Xdil_C18_pos_P2E3_1_12963,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12911,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12936,250120_JMK_UM2144_squid_clutch_C9_1mgml_C18_pos_P2C9_1_12958,kmd
757.38777 Da 320.58 s,758.39505,5.34,0,0,0,0,0,0,0,3525.685303,2947.889404,0,0,0,0,0,0,0,0,0,685.5278931,907.6763916,922.8885498,0.395049999999969
290.24246 Da 320.62 s,291.24973,5.34,959.8632202,947.3914185,240.8233795,1125.774292,1717.207397,0,4877.380859,5914.492188,4218.388184,1672.991089,0,1649.050781,4895.729004,5074.88916,4692.483398,0,854.0283813,0,3234.593262,2938.323242,3379.95752,0.24973
318.21420 Da 322.01 s,319.22148,5.37,2321.719238,2046.843628,2026.679321,2467.104492,2170.693604,2121.56665,0,2719.108154,2097.418945,2355.353271,2586.043457,2578.010254,5936.345215,4566.017578,6774.157227,2557.544678,2321.364502,2749.935059,2609.46875,3342.076416,0,0.221479999999985
385.31534 Da 321.03 s,386.32262,5.35,1009.985107,1051.347778,1299.461914,1566.993408,1836.015503,1404.906738,2004.563721,2815.77002,2732.031982,1422.456177,1695.220947,1407.028076,4057.047852,3548.368408,3488.978516,1280.137939,1304.538208,1372.71875,2269.681152,2551.097656,2115.70459,0.322619999999972
493.31126 Da 322.49 s,494.31839,5.37,0,0,0,0,0,0,0,3325.729004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318390000000022
407.03503 Da 322.64 s,408.04231,5.38,0,0,0,0,1595.099121,1486.187744,0,0,0,0,0,0,0,0,0,0,545.0062866,2380.345215,0,0,0,0.0423099999999863
327.27347 Da 322.09 s,328.28074,5.37,0,0,0,0,1072.560547,884.4924927,7702.569336,8656.145508,6030.500488,800.2616577,744.0627441,605.664856,2028.625732,0,2304.901855,1259.867065,967.7897339,1057.358643,10708.25586,9695.119141,8598.326172,0.28073999999998
304.19810 Da 322.45 s,305.20538,5.37,0,0,0,0,0,693.2598877,1853.360352,2960.68335,1716.473022,0,0,0,0,0,1201.294922,967.8057861,912.9550171,1219.838257,4902.773926,3853.521729,4807.694336,0.205379999999991
445.37075 Da 322.79 s,446.37803,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.42627,2256.775146,2321.630859,0.378030000000024
623.37336 Da 322.09 s,624.38064,5.37,0,0,0,0,1537.217651,0,15825.87891,17898.51953,17621.22852,0,0,188.7308044,1603.346924,0,0,0,518.1129761,768.3900757,5098.295898,6121.422363,6083.359375,0.380639999999971
435.29364 Da 322.53 s,436.30092,5.38,0,0,414.6424561,0,0,0,0,0,0,0,0,0,980.703125,0,1594.868286,0,0,0,0,0,0,0.300920000000019
265.23803 Da 321.06 s,266.24531,5.35,2291.711426,2346.574951,2299.749023,3139.273193,2766.597656,2713.667236,0,2464.05542,3466.796387,2802.686279,2734.709961,2560.158691,2067.828125,0,0,2665.503906,0,2603.272461,0,3681.368164,3439.063721,0.245310000000018
651.36777 Da 321.12 s,652.37504,5.35,0,0,0,2124.529785,2050.238525,2334.911133,21055.87891,24555.625,23602.16211,0,0,0,0,0,0,652.4974976,615.8985596,564.3875732,6377.266602,7165.527832,7052.34375,0.375040000000013
578.31524 Da 321.14 s,579.32252,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.4196167,0,0,0.322520000000054
252.20714 Da 321.16 s,253.21442,5.35,0,0,0,0,0,0,2774.904053,645.6810913,1901.214478,614.8754272,546.0217896,644.435791,2759.301514,3868.874756,3621.376465,0,0,0,2694.278076,2143.240967,2933.625732,0.21441999999999
731.43033 Da 321.17 s,732.4376,5.35,0,0,0,744.2639771,0,733.6720581,7752.265137,6851.771973,5438.867188,0,0,0,1131.380615,0,0,0,0,0,1869.21875,1805.451538,1709.037476,0.437599999999975
338.31512 Da 322.29 s,339.3225,5.37,0,0,0,5189.157715,1481.281494,0,0,0,2003.849731,1548.008789,0,0,10344.25195,1543.125977,0,1158.33374,500.4552002,820.2983398,9122.143555,6743.090332,11062.58691,0.322499999999991
356.25011 Da 322.77 s,357.25738,5.38,3436.361816,2973.776367,3014.310303,3030.696045,2709.713379,2336.894043,4251.026855,2776.914551,3160.376953,3094.578369,2660.265137,2692.051025,3640.025391,4015.479004,4042.861084,2945.14624,2666.783936,2728.784424,3517.864502,2902.160645,2754.618408,0.257380000000012
312.22433 Da 322.24 s,313.23161,5.37,7876.965332,7313.563477,7592.822266,7308.534668,6410.725098,6325.618652,7321.662598,7854.300293,5832.195801,6734.396973,7271.361816,7155.207031,6776.51709,7706.242676,9862.639648,7718.193848,6949.744141,7145.098145,7930.956543,6630.56543,8069.790039,0.231609999999989
268.19886 Da 321.86 s,269.20613,5.36,2092.820313,2116.936279,2186.413086,1933.457642,1947.932617,2020.962769,2545.504639,0,0,1730.156738,2462.911377,2393.073975,1608.236084,2179.436768,0,2101.997314,2107.153076,2224.346436,1825.160889,1564.404541,2638.942627,0.206129999999973
335.29983 Da 322.14 s,336.30711,5.37,11829.7334,10685.60645,11639.74902,12234.83984,12234.39941,9722.789063,16371.56445,17780.65234,15783.77246,12760.13281,11670.78418,10008.57813,17971.25586,18779.16406,19459.45898,12796.92676,10663.80762,10974.85742,15009.16211,14935.24512,13292.31055,0.307110000000023
521.34220 Da 321.28 s,522.34948,5.35,0,0,0,7267.458496,8135.58252,7039.539551,88837.84375,82485.38281,86386.79688,7761.658203,7391.872559,6935.539063,65717.44531,61728.57422,59560.87109,5145.878906,4672.254883,4819.47998,43210.44922,45028.30469,48349.27344,0.349479999999971
481.31066 Da 321.21 s,482.31794,5.35,0,0,0,0,0,0,1174.745972,1297.575806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317940000000021
537.37349 Da 321.22 s,538.38077,5.35,0,0,0,4520.146484,0,0,0,0,888.0499268,1343.356812,0,0,9806.583008,0,0,1497.026367,0,69.79768372,11510.05566,8764.036133,11002.64746,0.380769999999984
298.10031 Da 321.23 s,299.10758,5.35,0,0,0,0,5327.133301,0,0,4797.407227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107579999999984
523.43819 Da 321.75 s,524.44547,5.36,2982.317383,2679.333984,4395.071289,3124.341309,4009.931641,0,3466.277344,5446.801758,3671.354492,3742.027832,0,2849.006592,3869.294189,3707.25415,4544.147949,0,6673.373535,3898.418701,0,4718.673828,0,0.44547
