"Bucket label","RT","m/z","Formula","121523_Blank_expanded_gradient_73_1_6075","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6076","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6077","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6078","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6079","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6080","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6081","121523_Blank_expanded_gradient_73_1_6082","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6083","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6084","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6085","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6086","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6087","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6088","121523_Blank_expanded_gradient_73_1_6089","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6090","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6091","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6092","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6093","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6094","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6095"
"newJC1",,,,"Blank expanded gradient","Coculture 1 mg_mL expanded gradient","JC1 0.25 mg_mL expanded gradient","JC1 1 mg_mL expanded gradient","Media 1 mg_mL expanded gradient","Media 0.25 mg_mL expanded gradient","Coculture 0.25 mg_mL expanded gradient","Blank expanded gradient","Coculture 0.25 mg_mL expanded gradient","Coculture 1 mg_mL expanded gradient","JC1 0.25 mg_mL expanded gradient","JC1 1 mg_mL expanded gradient","Media 1 mg_mL expanded gradient","Media 0.25 mg_mL expanded gradient","Blank expanded gradient","JC1 0.25 mg_mL expanded gradient","Coculture 1 mg_mL expanded gradient","JC1 1 mg_mL expanded gradient","Media 1 mg_mL expanded gradient","Coculture 0.25 mg_mL expanded gradient","Media 0.25 mg_mL expanded gradient"
"704.34857 Da 328.97 s",5.482762,705.35584,"C35H52N4O9S",0.0,0.0,0.0,1098.087890625,1658.388916015625,455.7709655761719,0.0,0.0,0.0,0.0,0.0,1626.4981689453125,1872.4803466796875,480.8518371582031,0.0,0.0,0.0,1547.49853515625,2060.8583984375,0.0,0.0
"435.21056 Da 329.16 s",5.486019,436.21784,"C16H30KN9O3",0.0,1998.9222412109375,0.0,0.0,0.0,0.0,664.9529418945312,0.0,617.0576782226562,2276.9599609375,0.0,0.0,0.0,0.0,0.0,0.0,2223.1337890625,0.0,0.0,0.0,0.0
"1241.60208 Da 329.16 s",5.486030,621.80831,"C56H80KN23O6S",0.0,2608.456298828125,0.0,0.0,0.0,0.0,872.2185668945312,0.0,0.0,2692.6220703125,0.0,0.0,0.0,0.0,0.0,0.0,2697.03173828125,0.0,0.0,785.8516235351562,0.0
"850.43318 Da 329.71 s",5.495141,426.22386,"C27H65N16O9P3",0.0,0.0,866.7760009765625,3851.347900390625,5032.31005859375,1217.0616455078125,0.0,0.0,0.0,0.0,1065.1802978515625,4236.83056640625,4585.0107421875,1699.864013671875,0.0,1231.286376953125,0.0,3372.65869140625,4984.34228515625,0.0,1222.101806640625
"1020.53853 Da 330.09 s",5.501439,511.27654,"C30H81N14O22P",0.0,0.0,481.52960205078125,1720.658203125,2726.746826171875,701.0199584960938,0.0,0.0,0.0,0.0,0.0,1444.3101806640625,3352.8935546875,698.6707763671875,0.0,0.0,0.0,2043.98974609375,2946.58984375,0.0,509.5831604003906
"655.29443 Da 330.42 s",5.507013,656.30171,,0.0,0.0,0.0,0.0,1952.681396484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1589.000732421875,0.0,0.0,0.0,0.0,0.0,2314.8251953125,0.0,431.4496765136719
"1051.57843 Da 330.77 s",5.512813,526.79649,,0.0,0.0,0.0,2228.516357421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246.86181640625,3113.221435546875,0.0,0.0,0.0,0.0,2407.738525390625,0.0,0.0,0.0
"716.37462 Da 331.08 s",5.518066,717.38190,"C30H49N14O5P",0.0,0.0,297.93267822265625,1081.2481689453125,1493.492919921875,0.0,0.0,0.0,0.0,0.0,0.0,1370.98486328125,1792.4898681640625,0.0,0.0,0.0,0.0,1358.27197265625,1776.9874267578125,0.0,356.71514892578125
"855.43202 Da 331.18 s",5.519718,856.43930,"C40H67N5O11P2",0.0,0.0,931.3904418945312,3521.759033203125,4913.16455078125,1032.996337890625,0.0,0.0,0.0,0.0,832.8236694335938,3449.032958984375,4386.29833984375,989.7353515625,0.0,895.5679931640625,0.0,3679.431640625,4063.235595703125,0.0,914.9813232421875
"1272.57499 Da 331.56 s",5.525948,637.29477,"C57H88N6O26",0.0,0.0,1721.039306640625,5183.19775390625,5774.36328125,1599.2672119140625,0.0,0.0,0.0,0.0,1579.75244140625,5709.4775390625,5049.58447265625,1621.58544921875,0.0,1760.0374755859375,0.0,5214.591796875,5335.54345703125,0.0,1362.143798828125
