"FEATURE_ID","RT","PEPMASS","CCS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","newJC1_Blank expanded gradient_MeanIntensity","newJC1_Coculture 1 mg_mL expanded gradient_MeanIntensity","newJC1_JC1 0.25 mg_mL expanded gradient_MeanIntensity","newJC1_JC1 1 mg_mL expanded gradient_MeanIntensity","newJC1_Media 1 mg_mL expanded gradient_MeanIntensity","newJC1_Media 0.25 mg_mL expanded gradient_MeanIntensity","newJC1_Coculture 0.25 mg_mL expanded gradient_MeanIntensity","121523_Blank_expanded_gradient_73_1_6075","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6076","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6077","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6078","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6079","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6080","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6081","121523_Blank_expanded_gradient_73_1_6082","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6083","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6084","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6085","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6086","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6087","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6088","121523_Blank_expanded_gradient_73_1_6089","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6090","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6091","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6092","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6093","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6094","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6095"
1,45.28,560.18854,218.45032,59.435,"NPA012312","C28H32O12",ION=[M+H]+,,,1727.77,0.00,1584.80,0.00,0.00,0.00,0.00,589.79,0.00,1382.37,0.00,0.00,0.00,0.00,601.03,0.00,653.42,1727.77,0.00,0.00,0.00,0.00,0.00,0.00,1644.26,0.00,0.00,514.92,0.00
2,46.52,1402.53251,496.70984,87.423,,"C91H83KN2O6S2",ION=[M+H+H2]3+,,,1585.98,0.00,1513.76,0.00,0.00,0.00,0.00,0.00,0.00,1506.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1448.35,0.00,0.00,0.00,0.00,0.00,0.00,1585.98,0.00,0.00,0.00,0.00
3,47.98,976.43645,320.64838,91.906,,"C39H44N32O",ION=[M+H+H]2+,,,1692.53,0.00,0.00,0.00,1616.33,0.00,0.00,0.00,0.00,0.00,0.00,1692.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1501.97,0.00,0.00,0.00,0.00,0.00,1654.49,0.00,0.00,0.00
4,47.99,889.40569,313.7945,85.990,,"C39H47N21O5",ION=[M+H+H]2+,,,1722.86,0.00,0.00,0.00,1517.15,0.00,0.00,0.00,0.00,0.00,0.00,1523.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1722.86,0.00,0.00,0.00,0.00,0.00,1305.29,0.00,0.00,0.00
5,48.02,711.23617,233.79541,NA,,"C19H58N3O12PS5",ION=[M+H]+,,,1508.09,0.00,502.70,0.00,0.00,0.00,0.00,889.34,0.00,0.00,0.00,0.00,0.00,0.00,931.17,0.00,829.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1508.09,0.00,0.00,907.15,0.00
6,48.32,642.33111,229.67986,103.359,"NPA005859","C32H50O13",ION=[M+H]+,,,1966.66,0.00,1677.73,0.00,0.00,0.00,0.00,0.00,0.00,1195.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1966.66,0.00,0.00,0.00,0.00,0.00,0.00,1871.26,0.00,0.00,0.00,0.00
7,48.36,949.49459,321.53635,3.331,,"C52H67N7O10",ION=[M+H+H]2+,,,2666.05,0.00,0.00,453.13,2315.61,1556.63,0.00,0.00,0.00,0.00,671.34,2202.93,1536.22,0.00,0.00,0.00,0.00,0.00,0.00,2666.05,1566.76,0.00,0.00,688.04,0.00,2077.86,1566.92,0.00,0.00
8,48.42,569.24239,222.96123,28.741,,"C20H27N17O4",ION=[M+H]+,,,7836.94,0.00,7056.21,626.01,1836.34,1810.94,448.89,2664.63,0.00,6587.85,671.62,1926.76,1801.04,454.71,2904.83,0.00,2723.52,7836.94,506.16,1745.43,1966.58,419.79,0.00,700.24,6743.84,1836.85,1665.19,2365.53,472.17
9,48.49,501.25341,151.98962,32.208,"PC(8:2(2E,4E)/8:2(2E,4E))","C24H40NO8P",ION=[M+H]+,,,1929.23,0.00,1854.81,0.00,0.00,0.00,0.00,738.90,0.00,1742.03,0.00,0.00,0.00,0.00,807.25,0.00,727.90,1929.23,0.00,0.00,0.00,0.00,0.00,0.00,1893.15,0.00,0.00,681.55,0.00
10,48.60,516.27170,218.25366,40.157,"NPA029051","C29H40O8",ION=[M+H]+,,,1505.73,0.00,0.00,0.00,1450.37,0.00,0.00,0.00,0.00,0.00,0.00,1377.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1468.19,0.00,0.00,0.00,0.00,0.00,1505.73,0.00,0.00,0.00
11,48.60,557.31544,215.8518,41.314,"NPA014735","C30H43N3O7",ION=[M+H]+,,,1588.09,0.00,0.00,0.00,1412.29,0.00,0.00,0.00,0.00,0.00,0.00,1227.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1420.81,0.00,0.00,0.00,0.00,0.00,1588.09,0.00,0.00,0.00
12,48.61,644.31251,227.5542,29.461,,"C18H50N10O11P2",ION=[M+H]+,,,1619.85,0.00,1463.48,0.00,0.00,0.00,0.00,0.00,0.00,1279.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1619.85,0.00,0.00,0.00,0.00,0.00,0.00,1490.60,0.00,0.00,0.00,0.00
13,48.71,1037.56267,298.79285,13.906,"NPA009637","C49H75N13O12",ION=[M+H+H]2+,,,1670.86,0.00,0.00,0.00,1588.80,316.36,0.00,0.00,0.00,0.00,0.00,1480.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1615.20,949.07,0.00,0.00,0.00,0.00,1670.86,0.00,0.00,0.00
14,48.80,337.16269,197.61778,NA,,"C10H24N7O4P",ION=[M+H]+,,,2192.74,0.00,1656.13,0.00,0.00,0.00,0.00,322.08,0.00,1274.67,0.00,0.00,0.00,0.00,469.51,0.00,496.72,2192.74,0.00,0.00,0.00,0.00,0.00,0.00,1500.98,0.00,0.00,0.00,0.00
15,48.86,583.25820,227.43823,9.099,,"C27H43N3O7P2",ION=[M+H]+,,,10392.97,0.00,10124.97,139.88,785.10,1067.87,104.58,3418.81,0.00,9765.70,0.00,1274.98,1142.60,313.73,3561.41,0.00,3182.70,10216.23,0.00,0.00,941.01,0.00,0.00,419.64,10392.97,1080.33,1120.01,3512.32,0.00
16,48.86,486.12780,189.43578,23.686,,"C15H28N4O10P2",ION=[M+H]+,,,3081.47,0.00,2620.20,0.00,0.00,0.00,0.00,1962.15,0.00,3081.47,0.00,0.00,0.00,0.00,2497.28,0.00,1454.11,2293.26,0.00,0.00,0.00,0.00,0.00,0.00,2485.88,0.00,0.00,1935.05,0.00
17,49.02,427.24333,193.76378,22.634,,"C19H33N5O6",ION=[M+H]+,,,4756.45,0.00,0.00,1635.37,4580.35,2859.65,764.19,0.00,0.00,0.00,1456.24,4756.45,2745.73,569.45,0.00,0.00,0.00,0.00,1924.48,4477.04,2905.38,807.70,0.00,1525.38,0.00,4507.56,2927.84,0.00,915.42
18,49.07,83.07126,196.25444,,,,ION=[M+H]+,,,1794.62,0.00,0.00,647.98,1547.15,749.29,0.00,0.00,0.00,0.00,655.79,1794.62,677.24,0.00,0.00,0.00,0.00,0.00,606.00,1495.67,772.43,0.00,0.00,682.15,0.00,1351.15,798.20,0.00,0.00
19,49.18,712.24639,233.78377,17.965,,"C32H53KN2O5S4",ION=[M+H]+,,,2953.16,0.00,2609.95,0.00,0.00,0.00,0.00,1794.05,0.00,2953.16,0.00,0.00,0.00,0.00,2039.36,0.00,1592.80,2769.50,0.00,0.00,0.00,0.00,0.00,0.00,2107.18,0.00,0.00,1749.99,0.00
20,49.23,616.31702,147.23811,47.960,"NPA012521","C30H44N6O8",ION=[M+H]+,,,6694.39,0.00,6304.69,0.00,0.00,0.00,0.00,2164.89,0.00,5976.89,0.00,0.00,0.00,0.00,2527.18,0.00,1946.64,6242.79,0.00,0.00,0.00,0.00,0.00,0.00,6694.39,0.00,0.00,2020.85,0.00
21,49.30,674.32108,234.90738,35.118,"NPA014869","C38H46N2O9",ION=[M+H]+,,,25763.15,0.00,23891.49,0.00,1168.24,0.00,0.00,5445.04,0.00,20925.74,0.00,0.00,0.00,0.00,6395.07,0.00,4703.80,25763.15,0.00,1817.13,0.00,0.00,0.00,0.00,24985.59,1687.59,0.00,5236.24,0.00
22,49.35,430.20553,199.85489,103.359,,"C17H34O12",ION=[M+H]+,,,2471.07,0.00,2317.80,0.00,0.00,0.00,0.00,714.92,0.00,2191.56,0.00,0.00,0.00,0.00,744.90,0.00,705.02,2471.07,0.00,0.00,0.00,0.00,0.00,0.00,2290.76,0.00,0.00,694.83,0.00
23,49.44,977.51098,320.15598,24.785,,"C60H72N3O7P",ION=[M+H+H]2+,,,1618.61,0.00,0.00,0.00,1388.86,1409.76,0.00,0.00,0.00,0.00,0.00,1529.44,1214.08,0.00,0.00,0.00,0.00,0.00,0.00,1618.61,1604.25,0.00,0.00,0.00,0.00,1018.53,1410.95,0.00,0.00
24,49.46,80.03556,169.39043,,,,ION=[M+H]+,,,3012.23,0.00,2975.27,0.00,0.00,0.00,0.00,921.32,0.00,2938.77,0.00,0.00,0.00,0.00,967.61,0.00,745.30,3012.23,0.00,0.00,0.00,0.00,0.00,0.00,2974.82,0.00,0.00,1051.04,0.00
25,49.46,670.32737,228.1232,29.213,,"C19H39N22O4P",ION=[M+H]+,,,2595.68,0.00,2536.56,0.00,0.00,0.00,0.00,187.08,0.00,2569.67,0.00,0.00,0.00,0.00,561.25,0.00,0.00,2444.34,0.00,0.00,0.00,0.00,0.00,0.00,2595.68,0.00,0.00,0.00,0.00
26,49.46,433.19656,148.79114,15.963,,"C12H33N7O6P2",ION=[M+H]+,,,2908.49,0.00,2686.60,0.00,0.00,0.00,0.00,881.88,0.00,2247.37,0.00,0.00,0.00,0.00,971.69,0.00,675.07,2903.94,0.00,0.00,0.00,0.00,0.00,0.00,2908.49,0.00,0.00,998.88,0.00
27,49.54,194.10415,161.53986,NA,,"C5H15ClN6",ION=[M+H]+,,,6672.80,0.00,6038.89,1126.52,2136.41,2412.64,1150.45,1733.68,0.00,5441.13,1100.01,2396.10,2334.73,1146.35,1746.30,0.00,1577.33,6002.75,1198.48,2026.36,2380.77,1084.97,0.00,1081.07,6672.80,1986.78,2522.43,1877.41,1220.02
28,49.58,453.29418,203.79121,14.529,,"C21H43NO9",ION=[M+H]+,,,2391.35,0.00,0.00,636.36,2308.24,1399.89,0.00,0.00,0.00,0.00,632.98,2278.45,1476.25,0.00,0.00,0.00,0.00,0.00,666.99,2391.35,1328.04,0.00,0.00,609.09,0.00,2254.92,1395.38,0.00,0.00
29,49.59,1576.82563,448.05157,69.082,,"C73H221N33O",ION=[M+H+H2]3+,,,1837.56,0.00,0.00,0.00,1649.26,1674.13,0.00,0.00,0.00,0.00,0.00,1618.29,1601.54,0.00,0.00,0.00,0.00,0.00,0.00,1586.66,1837.56,0.00,0.00,0.00,0.00,1742.84,1583.30,0.00,0.00
30,49.76,684.34007,234.8302,110.934,"NPA016504","C37H52N2O8S",ION=[M+H]+,,,1926.16,0.00,1571.13,0.00,0.00,0.00,0.00,91.22,0.00,1249.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1537.65,0.00,0.00,0.00,0.00,0.00,0.00,1926.16,0.00,0.00,273.65,0.00
31,49.79,250.14174,189.3519,NA,"NPA018556","C12H18N4O2",ION=[M+H]+,,,2772.12,0.00,0.00,735.33,2644.85,0.00,0.00,0.00,0.00,0.00,691.98,2772.12,0.00,0.00,0.00,0.00,0.00,0.00,829.71,2674.60,0.00,0.00,0.00,684.30,0.00,2487.83,0.00,0.00,0.00
32,49.86,630.26625,224.68163,23.267,"NPA032064","C34H38N4O8",ION=[M+H]+,,,8182.49,0.00,1839.91,814.74,2370.99,7847.02,2133.80,319.76,0.00,1626.10,763.91,2452.52,7690.78,2207.65,513.54,0.00,445.75,2198.69,965.89,2396.02,7667.77,2003.84,0.00,714.43,1694.93,2264.43,8182.49,0.00,2189.91
33,49.86,415.09158,174.57191,19.636,,"C12H23N3O9P2",ION=[M+H]+,,,2697.30,0.00,2318.41,0.00,0.00,0.00,0.00,1293.81,0.00,2697.30,0.00,0.00,0.00,0.00,1510.14,0.00,1148.43,2252.49,0.00,0.00,0.00,0.00,0.00,0.00,2005.45,0.00,0.00,1222.84,0.00
34,50.36,691.28054,156.69432,227.972,"Maytansine","C34H46ClN3O10",ION=[M+H]+,"C10606",,1545.70,0.00,0.00,0.00,1354.32,0.00,0.00,0.00,0.00,0.00,0.00,1545.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1147.30,0.00,0.00,0.00,0.00,0.00,1369.96,0.00,0.00,0.00
35,50.38,295.15778,153.98184,NA,"NPA025302","C19H21NO2",ION=[M+H]+,,,2389.33,0.00,2026.98,0.00,408.06,1847.41,0.00,235.88,0.00,2121.62,0.00,0.00,1657.92,0.00,707.64,0.00,0.00,2389.33,0.00,0.00,1596.83,0.00,0.00,0.00,1570.00,1224.18,2287.47,0.00,0.00
36,50.63,374.20563,190.46309,85.375,"NPA028138","C22H30O5",ION=[M+H]+,,,2169.93,0.00,2133.30,0.00,1043.04,1150.32,0.00,650.25,0.00,2169.93,0.00,926.04,1156.77,0.00,754.47,0.00,580.50,2071.38,0.00,1325.09,1037.71,0.00,0.00,0.00,2158.59,878.01,1256.48,615.78,0.00
37,50.74,310.15155,192.68283,NA,,"C10H31ClN2O2S2",ION=[M+H]+,,,2466.97,0.00,2169.38,0.00,0.00,0.00,0.00,801.07,0.00,2466.97,0.00,0.00,0.00,0.00,846.46,0.00,737.29,2054.15,0.00,0.00,0.00,0.00,0.00,0.00,1987.03,0.00,0.00,819.47,0.00
38,50.86,572.13739,211.50769,NA,"NPA021472","C31H24O11",ION=[M+H]+,,,3046.10,0.00,0.00,617.82,2529.10,0.00,0.00,0.00,0.00,0.00,652.00,3046.10,0.00,0.00,0.00,0.00,0.00,0.00,604.69,2413.94,0.00,0.00,0.00,596.76,0.00,2127.26,0.00,0.00,0.00
39,50.87,645.31462,237.97435,19.558,"NPA008522","C35H43N5O7",ION=[M+H]+,,,5250.69,0.00,0.00,1228.89,5136.12,0.00,0.00,0.00,0.00,0.00,1357.63,5179.77,0.00,0.00,0.00,0.00,0.00,0.00,1170.82,5250.69,0.00,0.00,0.00,1158.22,0.00,4977.90,0.00,0.00,0.00
40,50.87,529.29322,216.14935,17.118,,"C25H47N5OS3",ION=[M+H]+,,,4765.04,0.00,0.00,1292.30,4419.41,136.64,0.00,0.00,0.00,0.00,1419.97,4313.46,0.00,0.00,0.00,0.00,0.00,0.00,1307.58,4765.04,409.91,0.00,0.00,1149.34,0.00,4179.73,0.00,0.00,0.00
41,51.08,568.35740,220.22571,29.317,,"C24H40N16O",ION=[M+H]+,,,4044.70,0.00,0.00,993.78,3826.98,0.00,0.00,0.00,0.00,0.00,1099.18,3855.97,0.00,0.00,0.00,0.00,0.00,0.00,915.63,4044.70,0.00,0.00,0.00,966.53,0.00,3580.27,0.00,0.00,0.00
42,51.31,1136.56662,341.57556,137.445,,"C50H78N18O9P2",ION=[M+H+H]2+,,,1744.36,0.00,0.00,0.00,531.88,1472.27,0.00,0.00,0.00,0.00,0.00,0.00,1744.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1345.80,0.00,0.00,0.00,0.00,1595.65,1326.66,0.00,0.00
43,51.32,1034.53474,330.18735,61.147,"NPA028705","C51H74N10O13",ION=[M+H+H]2+,,,1571.25,0.00,0.00,0.00,1422.25,999.24,0.00,0.00,0.00,0.00,0.00,1571.25,1518.11,0.00,0.00,0.00,0.00,0.00,0.00,1360.72,0.00,0.00,0.00,0.00,0.00,1334.78,1479.61,0.00,0.00
44,51.48,926.47945,318.1209,20.427,,"C67H62N2O2",ION=[M+H+H]2+,,,1929.12,0.00,0.00,0.00,929.00,1603.35,0.00,0.00,0.00,0.00,0.00,1615.54,1929.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1394.41,0.00,0.00,0.00,0.00,1171.45,1486.53,0.00,0.00
45,51.48,728.33440,239.86124,8.043,,"C33H49N10O5PS",ION=[M+H]+,,,2543.52,0.00,2498.32,0.00,0.00,0.00,0.00,623.70,0.00,2451.26,0.00,0.00,0.00,0.00,795.53,0.00,542.12,2543.52,0.00,0.00,0.00,0.00,0.00,0.00,2500.17,0.00,0.00,533.45,0.00
46,51.51,441.26994,204.45251,169.847,,"C15H41K2N9O",ION=[M+H]+,,,2284.47,0.00,0.00,573.51,1866.99,0.00,0.00,0.00,0.00,0.00,541.86,2284.47,0.00,0.00,0.00,0.00,0.00,0.00,477.95,1730.19,0.00,0.00,0.00,700.71,0.00,1586.32,0.00,0.00,0.00
47,51.52,1175.54968,339.69003,128.543,,"C46H71N27O7P2",ION=[M+H+H]2+,,,1774.48,0.00,0.00,0.00,1136.08,1462.91,0.00,0.00,0.00,0.00,0.00,855.44,1774.48,0.00,0.00,0.00,0.00,0.00,0.00,1322.63,1712.86,0.00,0.00,0.00,0.00,1230.18,901.38,0.00,0.00
48,51.55,698.35788,238.94301,30.593,,"C34H55KN6O5S",ION=[M+H]+,,,7157.02,0.00,6604.08,0.00,0.00,0.00,0.00,1564.71,0.00,5951.81,0.00,0.00,0.00,0.00,1765.71,0.00,1479.12,7157.02,0.00,0.00,0.00,0.00,0.00,0.00,6703.42,0.00,0.00,1449.31,0.00
49,51.63,912.49012,316.4313,103.921,,"C24H68N18O19",ION=[M+H+H]2+,,,1686.38,0.00,0.00,0.00,1176.59,863.89,0.00,0.00,0.00,0.00,0.00,1345.42,1686.38,0.00,0.00,0.00,0.00,0.00,0.00,1098.31,905.30,0.00,0.00,0.00,0.00,1086.04,0.00,0.00,0.00
50,51.64,512.27144,167.80212,171.670,"NPA011053","C21H36N8O7",ION=[M+H]+,,,2234.78,0.00,0.00,0.00,1337.42,1151.93,0.00,0.00,0.00,0.00,0.00,1592.48,2234.78,0.00,0.00,0.00,0.00,0.00,0.00,1395.96,0.00,0.00,0.00,0.00,0.00,1023.84,1221.01,0.00,0.00
51,51.70,395.16925,150.07162,27.898,,"C18H25N3O7",ION=[M+H]+,,,2493.65,0.00,2057.89,0.00,1167.72,0.00,0.00,467.52,0.00,1762.14,0.00,1155.88,0.00,0.00,703.43,0.00,0.00,2493.65,0.00,1290.51,0.00,0.00,0.00,0.00,1917.89,1056.78,0.00,699.13,0.00
52,51.78,1038.46179,307.59094,64.064,,"C29H73N18O17P3",ION=[M+H+H]2+,,,3325.24,0.00,0.00,1051.92,2920.35,2959.81,290.56,0.00,0.00,0.00,856.48,2809.61,3161.22,0.00,0.00,0.00,0.00,0.00,1259.02,3325.24,2530.27,871.69,0.00,1040.27,0.00,2626.19,3187.94,0.00,0.00
53,51.80,993.51510,336.12262,183.692,"NPA006528","C50H71N7O14",ION=[M+H+H]2+,,,1719.67,0.00,0.00,0.00,984.53,1281.06,0.00,0.00,0.00,0.00,0.00,0.00,1441.89,0.00,0.00,0.00,0.00,0.00,0.00,1233.92,1056.90,0.00,0.00,0.00,0.00,1719.67,1344.39,0.00,0.00
54,51.80,998.47300,314.27402,172.877,"NPA027238","C51H66N8O13",ION=[M+H+H]2+,,,3430.32,0.00,0.00,412.63,857.24,3263.92,397.93,0.00,0.00,0.00,549.12,2571.73,2984.92,557.47,0.00,0.00,0.00,0.00,688.77,0.00,3430.32,0.00,0.00,0.00,0.00,0.00,3376.51,0.00,636.33
55,51.81,682.36133,237.56842,81.747,"NPA013357","C36H50N4O9",ION=[M+H]+,,,2538.71,0.00,0.00,223.01,1135.72,2281.04,383.86,0.00,0.00,0.00,308.28,994.78,2022.33,0.00,0.00,0.00,0.00,0.00,0.00,1557.61,2538.71,598.26,0.00,360.76,0.00,854.77,2282.08,0.00,553.32
56,51.84,1113.56704,346.93463,47.489,"NPA028847","C52H79N11O16",ION=[M+H+H]2+,,,3351.70,0.00,0.00,907.05,3023.88,2899.05,762.92,0.00,0.00,0.00,857.59,3351.70,2712.04,831.17,0.00,0.00,0.00,0.00,960.81,3087.80,2999.74,735.39,0.00,902.74,0.00,2632.13,2985.38,0.00,722.19
57,51.85,617.24196,235.08061,7.606,,"C30H41N3O7P2",ION=[M+H]+,,,6261.77,0.00,5579.60,0.00,0.00,0.00,0.00,1923.10,0.00,5262.46,0.00,0.00,0.00,0.00,2018.21,0.00,1800.08,6261.77,0.00,0.00,0.00,0.00,0.00,0.00,5214.57,0.00,0.00,1951.02,0.00
58,51.85,643.29871,241.93289,34.659,"NPA001838","C32H45N5O7S",ION=[M+H]+,,,13548.86,0.00,0.00,4110.57,13022.25,3668.69,936.55,0.00,0.00,0.00,4125.11,13090.94,3500.96,1010.87,0.00,0.00,0.00,0.00,4084.01,13548.86,3715.87,855.52,0.00,4122.58,0.00,12426.94,3789.25,0.00,943.26
59,51.86,948.51395,287.60904,60.423,,"C30H66N26O6P2",ION=[M+H+H]2+,,,2806.68,0.00,0.00,0.00,1824.20,1710.02,0.00,0.00,0.00,0.00,0.00,2048.62,2806.68,0.00,0.00,0.00,0.00,0.00,0.00,1687.10,0.00,0.00,0.00,0.00,0.00,1736.88,2323.39,0.00,0.00
60,51.86,313.64255,156.1785,,,,ION=[M+H]+,,,2624.40,0.00,0.00,0.00,0.00,1907.85,0.00,0.00,0.00,0.00,0.00,0.00,1879.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1220.08,0.00,0.00,0.00,0.00,0.00,2624.40,0.00,0.00
61,51.86,501.26055,206.22249,NA,"NPA001519","C25H35N5O6",ION=[M+H]+,,,14010.84,0.00,0.00,4635.85,13570.96,1434.75,0.00,0.00,0.00,0.00,4302.67,13577.12,1213.36,0.00,0.00,0.00,0.00,0.00,5172.59,14010.84,1322.65,0.00,0.00,4432.28,0.00,13124.91,1768.25,0.00,0.00
62,51.86,555.26108,145.76387,,,,ION=[M+H]+,,,1536.74,0.00,0.00,0.00,0.00,1151.14,0.00,0.00,0.00,0.00,0.00,0.00,857.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1058.84,0.00,0.00,0.00,0.00,0.00,1536.74,0.00,0.00
63,51.88,1028.51779,332.2108,8.105,,"C48H69ClN18O4S",ION=[M+H+H]2+,,,2346.74,0.00,0.00,0.00,1786.59,2001.95,0.00,0.00,0.00,0.00,0.00,1883.08,2234.78,0.00,0.00,0.00,0.00,0.00,0.00,1561.92,2346.74,0.00,0.00,0.00,0.00,1914.76,1424.35,0.00,0.00
64,51.89,694.33827,241.56316,22.516,,"C41H42N8O3",ION=[M+H]+,,,3480.43,0.00,0.00,729.64,3273.56,2345.24,442.49,0.00,0.00,0.00,628.96,3480.43,2344.50,403.65,0.00,0.00,0.00,0.00,900.12,3085.45,2283.45,496.57,0.00,659.84,0.00,3254.81,2407.76,0.00,427.25
65,51.91,1192.58480,361.6579,27.709,,"C46H105N2O22P5",ION=[M+H+H]2+,,,2644.94,0.00,0.00,0.00,1516.86,2495.78,172.95,0.00,0.00,0.00,0.00,1467.87,2577.27,0.00,0.00,0.00,0.00,0.00,0.00,1256.85,2644.94,518.85,0.00,0.00,0.00,1825.85,2265.12,0.00,0.00
66,51.94,1041.51005,328.9047,17.521,,"C55H68ClN13O6",ION=[M+H+H]2+,,,3919.12,0.00,0.00,1075.74,3779.63,3130.75,852.40,0.00,0.00,0.00,1059.84,3764.53,3150.72,802.71,0.00,0.00,0.00,0.00,1157.41,3919.12,3141.48,821.97,0.00,1009.98,0.00,3655.25,3100.04,0.00,932.53
67,51.95,508.26368,137.69899,22.688,"NPA008644","C27H40O9",ION=[M+H]+,,,4783.49,0.00,4114.98,0.00,0.00,0.00,0.00,1776.44,0.00,3534.66,0.00,0.00,0.00,0.00,1950.69,0.00,1750.75,4783.49,0.00,0.00,0.00,0.00,0.00,0.00,4026.80,0.00,0.00,1627.88,0.00
68,51.97,705.31934,237.79524,35.331,,"C21H49N13O10P2",ION=[M+H]+,,,1966.24,0.00,0.00,164.97,1557.89,0.00,0.00,0.00,0.00,0.00,0.00,1966.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1448.06,0.00,0.00,0.00,494.92,0.00,1259.38,0.00,0.00,0.00
69,52.00,384.24870,190.65623,,,,ION=[M+H]+,,,1578.64,0.00,0.00,507.35,1440.26,434.34,0.00,0.00,0.00,0.00,347.37,1578.64,0.00,0.00,0.00,0.00,0.00,0.00,580.94,1507.01,853.15,0.00,0.00,593.73,0.00,1235.12,449.88,0.00,0.00
70,52.04,464.72746,163.02458,,,,ION=[M+H]+,,,1915.59,0.00,0.00,0.00,1299.16,0.00,0.00,0.00,0.00,0.00,0.00,999.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1915.59,0.00,0.00,0.00,0.00,0.00,982.38,0.00,0.00,0.00
71,52.05,504.77627,167.99373,NA,,"C8H6BrKNO9PS3",ION=[M+H]+,,,1652.93,0.00,0.00,0.00,1278.91,1156.70,0.00,0.00,0.00,0.00,0.00,1269.59,960.25,0.00,0.00,0.00,0.00,0.00,0.00,1378.03,1652.93,0.00,0.00,0.00,0.00,1189.11,856.93,0.00,0.00
72,52.05,602.25388,170.82857,90.582,"NPA013327","C28H38N6O7S",ION=[M+H]+,,,2114.52,0.00,0.00,284.49,0.00,1499.47,0.00,0.00,0.00,0.00,0.00,0.00,1203.78,0.00,0.00,0.00,0.00,0.00,853.47,0.00,2114.52,0.00,0.00,0.00,0.00,0.00,1180.11,0.00,0.00
73,52.05,451.21950,151.29044,21.484,,"C20H25N11O2",ION=[M+H]+,,,2559.42,0.00,0.00,888.53,2040.64,2164.30,632.68,0.00,0.00,0.00,641.11,2331.39,2356.64,676.41,0.00,0.00,0.00,0.00,1155.13,1785.73,1576.85,502.77,0.00,869.36,0.00,2004.80,2559.42,0.00,718.85
74,52.08,525.27201,136.30194,NA,"NPA027044","C30H39NO7",ION=[M+H]+,,,3317.56,0.00,0.00,347.33,1860.38,3042.93,369.36,0.00,0.00,0.00,0.00,1445.07,2646.33,0.00,0.00,0.00,0.00,0.00,1041.98,2238.37,3164.91,448.81,0.00,0.00,0.00,1897.71,3317.56,0.00,659.27
75,52.09,281.17443,152.79605,50.108,"N-octanoyl histidine","C14H23N3O3",ION=[M+H]+,,,2159.09,0.00,1757.79,0.00,321.16,0.00,0.00,160.02,0.00,1669.58,0.00,963.49,0.00,0.00,480.05,0.00,0.00,2159.09,0.00,0.00,0.00,0.00,0.00,0.00,1444.71,0.00,0.00,0.00,0.00
76,52.14,301.16274,152.03639,NA,,"C9H24KN7O2",ION=[M+H]+,,,2194.90,0.00,1636.79,0.00,962.12,0.00,0.00,0.00,0.00,1304.81,0.00,1231.39,0.00,0.00,0.00,0.00,0.00,2194.90,0.00,950.89,0.00,0.00,0.00,0.00,1410.65,704.08,0.00,0.00,0.00
