"FEATURE_ID","RT","PEPMASS","CCS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","newJC1_Blank expanded gradient_MeanIntensity","newJC1_Coculture 1 mg_mL expanded gradient_MeanIntensity","newJC1_JC1 0.25 mg_mL expanded gradient_MeanIntensity","newJC1_JC1 1 mg_mL expanded gradient_MeanIntensity","newJC1_Media 1 mg_mL expanded gradient_MeanIntensity","newJC1_Media 0.25 mg_mL expanded gradient_MeanIntensity","newJC1_Coculture 0.25 mg_mL expanded gradient_MeanIntensity","121523_Blank_expanded_gradient_73_1_6075","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6076","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6077","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6078","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6079","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6080","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6081","121523_Blank_expanded_gradient_73_1_6082","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6083","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6084","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6085","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6086","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6087","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6088","121523_Blank_expanded_gradient_73_1_6089","121523_UM1899B_JC1_0.25mgmL_expanded_gradient_82_1_6090","121523_UM1901B_Coculture_1mgmL_expanded_gradient_81_1_6091","121523_UM1899B_JC1_1mgmL_expanded_gradient_79_1_6092","121523_UM1900B_Media_1mgmL_expanded_gradient_80_1_6093","121523_UM1901B_Coculture_0.25mgmL_expanded_gradient_84_1_6094","121523_UM1900B_Media_0.25mgmL_expanded_gradient_83_1_6095"
2702,298.59,526.27471,143.91788,38.332,"NPA019309","C28H38N4O6",ION=[M+H]+,,,2798.51,0.00,0.00,690.90,2154.58,2545.95,855.87,0.00,0.00,0.00,780.72,2242.52,2798.51,745.78,0.00,0.00,0.00,0.00,516.09,1976.64,2258.35,982.10,0.00,775.90,0.00,2244.59,2580.99,0.00,839.73
2703,299.50,575.34203,148.80739,69.661,"ibha#30","C32H49NO8",ION=[M+H]+,,,1685.78,0.00,0.00,0.00,735.77,1532.42,0.00,0.00,0.00,0.00,0.00,827.63,1685.78,0.00,0.00,0.00,0.00,0.00,0.00,581.64,1556.89,0.00,0.00,0.00,0.00,798.04,1354.60,0.00,0.00
2704,300.32,285.16802,229.61546,9.253,,"C14H19N7",ION=[M+H]+,,,4295.95,0.00,0.00,1009.99,3298.79,4139.17,1364.73,0.00,0.00,0.00,910.29,3419.46,4295.95,1143.82,0.00,0.00,0.00,0.00,1040.36,2945.97,3992.48,1571.08,0.00,1079.33,0.00,3530.92,4129.09,0.00,1379.28
2705,298.87,893.38072,303.9508,2.511,,"C41H60N5O15P",ION=[M+H+H]2+,,,6218.41,0.00,0.00,2876.65,5482.53,4451.59,2088.83,0.00,0.00,0.00,2942.09,5797.98,4406.02,2148.12,0.00,0.00,0.00,0.00,2657.53,4431.19,4293.04,2097.69,0.00,3030.33,0.00,6218.41,4655.71,0.00,2020.67
2706,300.46,495.26796,151.65762,45.946,"NPA010675","C23H37N5O7",ION=[M+H]+,,,1918.73,0.00,0.00,694.47,1698.70,1679.05,640.32,0.00,0.00,0.00,683.14,1673.01,1635.96,618.97,0.00,0.00,0.00,0.00,734.88,1918.73,1651.42,643.86,0.00,665.40,0.00,1504.37,1749.77,0.00,658.14
2707,300.62,1011.54146,342.09286,13.197,,"C52H87NO12P2S",ION=[M+H+H]2+,,,3223.25,0.00,0.00,780.90,2702.91,3089.73,813.20,0.00,0.00,0.00,760.20,2588.01,3007.36,730.70,0.00,0.00,0.00,0.00,758.91,2849.99,3038.57,898.72,0.00,823.60,0.00,2670.72,3223.25,0.00,810.18
2708,300.18,547.29952,223.41359,17.457,,"C29H46N3O3PS",ION=[M+H]+,,,20107.45,0.00,0.00,4759.69,14367.12,19300.13,5781.02,0.00,0.00,0.00,4943.62,15112.04,20107.45,5487.87,0.00,0.00,0.00,0.00,4464.21,12878.39,18784.52,5930.00,0.00,4871.23,0.00,15110.94,19008.41,0.00,5925.19
2709,298.84,281.17309,202.03154,12.047,,"C14H23N3O3",ION=[M+H]+,,,3087.08,0.00,2663.80,0.00,0.00,0.00,0.00,759.09,0.00,2531.56,0.00,0.00,0.00,0.00,927.83,0.00,604.64,2372.75,0.00,0.00,0.00,0.00,0.00,0.00,3087.08,0.00,0.00,744.81,0.00
2710,300.51,617.30752,231.49268,5.225,,"C15H44KN15O9",ION=[M+H]+,,,2809.65,0.00,0.00,447.74,2630.28,2042.75,470.22,0.00,0.00,0.00,0.00,2809.65,2189.59,525.78,0.00,0.00,0.00,0.00,730.31,2493.45,1916.34,437.74,0.00,612.92,0.00,2587.74,2022.32,0.00,447.14
2711,299.56,584.31540,219.10153,17.846,,"C38H48OS2",ION=[M+H]+,,,1729.86,0.00,0.00,0.00,374.12,1617.91,152.81,0.00,0.00,0.00,0.00,1122.37,1555.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1568.66,458.43,0.00,0.00,0.00,0.00,1729.86,0.00,0.00
2712,300.74,531.27146,215.37303,23.423,,"C27H38KN7O2",ION=[M+H]+,,,3559.34,0.00,0.00,291.01,1348.94,3343.50,920.79,0.00,0.00,0.00,466.03,1512.86,3272.79,946.63,0.00,0.00,0.00,0.00,407.00,1122.75,3198.38,906.61,0.00,0.00,0.00,1411.21,3559.34,0.00,909.12
2713,298.27,495.30512,207.77618,37.342,"NPA019162","C24H41N5O6",ION=[M+H]+,,,5248.22,0.00,0.00,0.00,191.96,4675.51,1397.48,0.00,0.00,0.00,0.00,258.49,5248.22,1239.28,0.00,0.00,0.00,0.00,0.00,317.40,4249.90,1579.87,0.00,0.00,0.00,0.00,4528.41,0.00,1373.30
2714,298.69,708.37958,150.17764,12.827,"NPA000226","C38H52N4O9",ION=[M+H]+,,,6457.01,0.00,0.00,2052.89,6291.08,5206.67,1678.31,0.00,0.00,0.00,2177.36,6309.01,5259.73,1701.44,0.00,0.00,0.00,0.00,2060.87,6107.23,5572.08,1745.33,0.00,1920.45,0.00,6457.01,4788.20,0.00,1588.16
2715,299.34,683.38417,246.64087,67.354,"NPA020670","C37H53N3O9",ION=[M+H]+,,,1863.62,0.00,0.00,0.00,1485.12,1795.18,255.86,0.00,0.00,0.00,0.00,1433.17,1837.47,422.17,0.00,0.00,0.00,0.00,0.00,1569.71,1684.45,0.00,0.00,0.00,0.00,1452.49,1863.62,0.00,345.40
2716,300.23,591.32548,234.43037,17.398,,"C31H50N3O4PS",ION=[M+H]+,,,5551.86,0.00,0.00,738.37,2455.92,5407.12,1527.96,0.00,0.00,0.00,777.97,2355.34,5333.79,1623.86,0.00,0.00,0.00,0.00,686.63,2314.81,5335.71,1573.29,0.00,750.51,0.00,2697.61,5551.86,0.00,1386.74
2717,298.66,609.31085,150.89714,20.308,"NPA024787","C31H47NO11",ION=[M+H]+,,,5452.01,0.00,0.00,2017.08,5338.17,4492.09,1511.43,0.00,0.00,0.00,2049.81,5379.36,4658.96,1659.38,0.00,0.00,0.00,0.00,1861.86,5452.01,4257.90,1418.92,0.00,2139.58,0.00,5183.13,4559.42,0.00,1455.99
2718,299.01,506.21903,205.9278,9.608,,"C25H35N2O7P",ION=[M+H]+,,,2407.21,0.00,102.14,675.54,2290.04,718.25,0.00,0.00,0.00,306.43,763.17,2246.14,1131.78,0.00,0.00,0.00,0.00,0.00,597.10,2216.78,0.00,0.00,0.00,666.37,0.00,2407.21,1022.96,0.00,0.00
2719,303.76,617.30848,231.98514,NA,"NPA001050","C35H43N3O7",ION=[M+H]+,,,2583.06,0.00,0.00,449.96,2509.12,1894.26,150.57,0.00,0.00,0.00,699.53,2480.76,2229.60,451.72,0.00,0.00,0.00,0.00,650.36,2583.06,1803.90,0.00,0.00,0.00,0.00,2463.55,1649.29,0.00,0.00
2720,302.67,601.29478,223.17456,19.279,,"C36H44NO5P",ION=[M+H]+,,,8707.91,0.00,0.00,2636.50,7858.31,0.00,0.00,0.00,0.00,0.00,2777.91,8707.91,0.00,0.00,0.00,0.00,0.00,0.00,2530.26,7183.80,0.00,0.00,0.00,2601.32,0.00,7683.23,0.00,0.00,0.00
2721,302.24,699.35812,241.41438,20.509,,"C36H54N5O5PS",ION=[M+H]+,,,1739.57,0.00,0.00,426.27,1621.65,1488.55,110.06,0.00,0.00,0.00,419.84,1566.49,1569.49,0.00,0.00,0.00,0.00,0.00,364.91,1558.90,1396.94,330.17,0.00,494.07,0.00,1739.57,1499.21,0.00,0.00
2722,302.87,520.19495,220.40869,8.994,,"C14H29N14O4PS",ION=[M+H]+,,,1543.16,0.00,1498.51,0.00,0.00,0.00,0.00,0.00,0.00,1543.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1439.25,0.00,0.00,0.00,0.00,0.00,0.00,1513.12,0.00,0.00,0.00,0.00
2723,302.67,519.19006,222.34949,,,,ION=[M+H]+,,,2140.92,0.00,2034.23,0.00,0.00,0.00,0.00,260.40,0.00,2140.92,0.00,0.00,0.00,0.00,0.00,0.00,383.94,1912.68,0.00,0.00,0.00,0.00,0.00,0.00,2049.09,0.00,0.00,397.26,0.00
2724,303.20,639.35885,235.52992,120.131,"NPA001670","C34H49N5O7",ION=[M+H]+,,,1895.01,0.00,0.00,530.32,1815.69,1490.04,0.00,0.00,0.00,0.00,473.24,1895.01,1483.60,0.00,0.00,0.00,0.00,0.00,572.20,1828.65,1527.30,0.00,0.00,545.50,0.00,1723.41,1459.23,0.00,0.00
2725,303.13,1434.66290,402.59503,55.459,,"C59H124O24P6S",ION=[M+H+H]2+,,,1647.96,0.00,0.00,0.00,1412.73,1580.01,0.00,0.00,0.00,0.00,0.00,1584.19,1520.43,0.00,0.00,0.00,0.00,0.00,0.00,1310.64,1647.96,0.00,0.00,0.00,0.00,1343.34,1571.65,0.00,0.00
2726,302.37,246.10248,201.52068,NA,"NPA007084","C13H14N2O3",ION=[M+H]+,,,1585.91,0.00,0.00,0.00,184.70,1462.40,0.00,0.00,0.00,0.00,0.00,554.11,1402.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1585.91,0.00,0.00,0.00,0.00,0.00,1399.00,0.00,0.00
2727,302.48,556.32040,224.82603,15.433,"NPA017159","C31H44N2O7",ION=[M+H]+,,,2799.17,0.00,0.00,539.78,1703.15,2736.67,735.00,0.00,0.00,0.00,504.47,1734.19,2799.17,697.14,0.00,0.00,0.00,0.00,586.25,1657.62,2773.71,879.60,0.00,528.62,0.00,1717.65,2637.14,0.00,628.26
2728,301.80,228.14621,217.99464,16.441,"NPA016847","C11H20N2O3",ION=[M+H]+,,,1849.10,0.00,0.00,423.99,1552.71,1699.77,439.29,0.00,0.00,0.00,448.20,1483.11,1670.22,411.86,0.00,0.00,0.00,0.00,432.32,1504.29,1849.10,502.40,0.00,391.45,0.00,1670.72,1579.98,0.00,403.60
2729,301.89,512.29472,210.08986,19.795,"NPA008600","C27H44O9",ION=[M+H]+,,,2492.87,0.00,0.00,640.93,2132.84,2444.68,690.40,0.00,0.00,0.00,666.82,1944.40,2492.87,628.76,0.00,0.00,0.00,0.00,571.47,2020.79,2357.53,747.09,0.00,684.50,0.00,2433.32,2483.63,0.00,695.36
2730,303.66,535.27544,219.55861,46.522,"NPA008640","C28H41NO9",ION=[M+H]+,,,1524.51,0.00,0.00,0.00,0.00,1296.11,0.00,0.00,0.00,0.00,0.00,0.00,1524.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1234.88,0.00,0.00,0.00,0.00,0.00,1128.94,0.00,0.00
2731,304.81,618.30292,228.9971,34.957,"NPA002444","C29H42N6O9",ION=[M+H]+,,,11702.19,0.00,0.00,2454.00,8752.09,11292.03,2833.71,0.00,0.00,0.00,2387.95,9373.42,11702.19,2850.46,0.00,0.00,0.00,0.00,2582.39,8418.87,11608.77,2971.14,0.00,2391.66,0.00,8463.98,10565.12,0.00,2679.52
2732,306.55,424.26818,192.4409,2.698,,"C20H40O9",ION=[M+H]+,,,578308.19,0.00,0.00,168724.93,563739.13,554157.23,147061.49,0.00,0.00,0.00,175173.41,572270.00,563219.13,147050.75,0.00,0.00,0.00,0.00,165966.53,540639.19,550215.31,149305.83,0.00,165034.84,0.00,578308.19,549037.25,0.00,144827.91
2733,305.82,552.28941,212.45114,18.634,,"C27H45N4O4PS",ION=[M+H]+,,,22362.38,0.00,0.00,4985.66,18218.61,21363.91,5457.82,0.00,0.00,0.00,5153.11,18586.50,21395.08,5585.59,0.00,0.00,0.00,0.00,4980.65,17525.48,22362.38,5417.97,0.00,4823.22,0.00,18543.84,20334.26,0.00,5369.91
2734,306.51,848.53527,272.50052,8.996,"PI(15:1(9Z)/20:1(11Z))","C44H81O13P",ION=[M+Na]+,,,11201.33,0.00,0.00,1310.55,10209.43,10527.17,1053.03,0.00,0.00,0.00,1276.20,9842.26,11201.33,1148.71,0.00,0.00,0.00,0.00,1484.37,10687.76,9752.42,1165.10,0.00,1171.08,0.00,10098.25,10627.75,0.00,845.29
2735,305.93,519.30501,209.75154,24.877,,"C17H51N3O10P2",ION=[M+H]+,,,3583.16,0.00,0.00,1201.56,3356.07,0.00,0.00,0.00,0.00,0.00,1359.70,3403.11,0.00,0.00,0.00,0.00,0.00,0.00,1192.28,3583.16,0.00,0.00,0.00,1052.70,0.00,3081.95,0.00,0.00,0.00
2736,306.44,166.10883,202.4601,,,,ION=[M+H]+,,,6239.91,0.00,0.00,1617.45,5276.68,5753.26,1267.33,0.00,0.00,0.00,1971.42,5373.79,5539.57,1320.19,0.00,0.00,0.00,0.00,1430.53,5403.20,5480.30,1463.07,0.00,1450.41,0.00,5053.07,6239.91,0.00,1018.72
2737,306.27,765.49821,262.44766,23.289,,"C41H73N3O6P2",ION=[M+H]+,,,8276.74,0.00,0.00,655.13,7837.24,7024.95,0.00,0.00,0.00,0.00,653.85,7744.12,7747.49,0.00,0.00,0.00,0.00,0.00,696.35,7490.87,6738.85,0.00,0.00,615.19,0.00,8276.74,6588.50,0.00,0.00
2738,306.37,69.05596,222.23984,,,,ION=[M+H]+,,,3440.41,0.00,0.00,991.52,3228.20,3167.28,804.16,0.00,0.00,0.00,874.93,3440.41,3237.46,786.72,0.00,0.00,0.00,0.00,1124.65,3189.00,3344.05,858.85,0.00,974.99,0.00,3055.17,2920.35,0.00,766.91
2739,306.19,536.36953,159.60115,NA,,"C22H54ClKN8O2",ION=[M+H]+,,,1956.91,0.00,0.00,0.00,0.00,1756.05,0.00,0.00,0.00,0.00,0.00,0.00,1956.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1545.35,0.00,0.00,0.00,0.00,0.00,1765.88,0.00,0.00
2740,306.84,660.31427,235.12595,14.191,,"C26H36N20S",ION=[M+H]+,,,18598.31,0.00,366.80,4037.32,15600.76,17185.59,3775.73,0.00,0.00,317.10,3804.80,16079.16,18598.31,3855.87,0.00,0.00,0.00,478.66,4309.95,15782.97,15662.89,3945.96,0.00,3997.21,304.63,14940.16,17295.58,0.00,3525.38
2741,306.63,212.11421,198.50778,NA,"NPA017722","C10H16N2O3",ION=[M+H]+,,,2492.39,0.00,0.00,246.18,2029.21,1739.65,0.00,0.00,0.00,0.00,738.53,2098.50,1465.92,0.00,0.00,0.00,0.00,0.00,0.00,1496.73,1920.75,0.00,0.00,0.00,0.00,2492.39,1832.28,0.00,0.00
2742,306.49,125.11872,207.78087,,,,ION=[M+H]+,,,11023.03,0.00,0.00,3171.87,10179.64,9674.85,2699.12,0.00,0.00,0.00,3223.10,9725.20,8451.76,2897.32,0.00,0.00,0.00,0.00,3333.20,10891.22,11023.03,2502.36,0.00,2959.30,0.00,9922.50,9549.75,0.00,2697.70
2743,306.86,591.32694,233.56573,31.299,,"C24H42N13O3P",ION=[M+H]+,,,5738.59,0.00,0.00,924.50,2786.48,5214.07,1193.30,0.00,0.00,0.00,1103.14,3302.15,4907.94,1067.94,0.00,0.00,0.00,0.00,791.43,2367.92,4995.68,1264.84,0.00,878.93,0.00,2689.38,5738.59,0.00,1247.11
2744,306.52,311.18331,195.05663,6.671,,"C16H21N7",ION=[M+H]+,,,74507.52,0.00,0.00,20983.76,72197.70,68986.02,18515.47,0.00,0.00,0.00,21445.72,73417.70,71858.10,18388.56,0.00,0.00,0.00,0.00,21122.18,68667.89,66502.88,19055.27,0.00,20383.37,0.00,74507.52,68597.06,0.00,18102.58
